Year,Name,Position,Age,Height (in),Weight (lbs),RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate,Catch%,YardsPerReception,YardsPerTarget,YACPerReception,TDperReception,TDperTarget,YardsPerRush,TDperRush,TotalYardsPerTouch,TotalTDsPerTouch,TeamPassingYardsPerAttempt,TeamRushingYardsPerAttempt,TeamPassingTDPercentage,TeamRushingTDPercentage,TeamYardsPerPlay,TeamPointsPerYard
2018,A.J. Green,WR,30,76,210,0,0,0,46,694,6,77,173,694,6,Bengals,CIN,368.0,455.0,4972.0,542.0,3290.0,27.0,359.0,1682.0,13.0,304.0,17.0,0.7111,0.074014,6.070111,4.685237,0.018868,0.5974025974025974,15.08695652173913,9.012987012987013,3.760869565217391,0.13043478260869565,0.07792207792207792,0.0,0.0,15.08695652173913,0.13043478260869565,6.070110701107011,4.685236768802229,0.04981549815498155,0.036211699164345405,5.518312985571587,0.07401448109412712
2020,A.J. Green,WR,32,76,210,0,0,0,47,523,2,104,90,523,2,Bengals,CIN,311.0,424.0,5116.0,581.0,3448.0,19.0,411.0,1668.0,13.0,318.0,24.0,0.5,0.06079,5.934596,4.058394,0.024194,0.4519230769230769,11.127659574468085,5.028846153846154,1.9148936170212767,0.0425531914893617,0.019230769230769232,0.0,0.0,11.127659574468085,0.0425531914893617,5.934595524956971,4.0583941605839415,0.03270223752151463,0.031630170316301706,5.157258064516129,0.06078967943706021
2020,A.J. Green,WR,32,74,185,0,0,0,47,523,2,104,90,523,2,Browns,CLE,408.0,419.0,5913.0,501.0,3539.0,27.0,495.0,2374.0,21.0,355.0,16.0,0.7333,0.069001,7.063872,4.79596,0.016064,0.4519230769230769,11.127659574468085,5.028846153846154,1.9148936170212767,0.0425531914893617,0.019230769230769232,0.0,0.0,11.127659574468085,0.0425531914893617,7.063872255489022,4.795959595959596,0.05389221556886228,0.04242424242424243,5.936746987951807,0.06900050735667174
2021,A.J. Green,WR,33,76,210,0,0,0,54,848,3,92,181,848,3,Cardinals,ARI,449.0,366.0,6352.0,591.0,4276.0,27.0,496.0,2076.0,23.0,367.0,15.0,0.6061,0.070686,7.235195,4.185484,0.013799,0.5869565217391305,15.703703703703704,9.217391304347826,3.3518518518518516,0.05555555555555555,0.03260869565217391,0.0,0.0,15.703703703703704,0.05555555555555555,7.235194585448393,4.185483870967742,0.04568527918781726,0.046370967741935484,5.84360625574977,0.07068639798488666
2021,A.J. Green,WR,33,74,185,0,0,0,54,848,3,92,181,848,3,Browns,CLE,349.0,371.0,5791.0,520.0,3320.0,21.0,485.0,2471.0,20.0,342.0,22.0,0.62,0.060266,6.384615,5.094845,0.021891,0.5869565217391305,15.703703703703704,9.217391304347826,3.3518518518518516,0.05555555555555555,0.03260869565217391,0.0,0.0,15.703703703703704,0.05555555555555555,6.384615384615385,5.094845360824742,0.04038461538461539,0.041237113402061855,5.7621890547263686,0.0602659298912105
2022,A.J. Green,WR,34,76,210,0,0,0,24,236,2,47,56,236,2,Cardinals,ARI,340.0,449.0,5499.0,664.0,3626.0,17.0,434.0,1873.0,15.0,326.0,25.0,0.5682,0.061829,5.460843,4.315668,0.022769,0.5106382978723404,9.833333333333334,5.0212765957446805,2.3333333333333335,0.08333333333333333,0.0425531914893617,0.0,0.0,9.833333333333334,0.08333333333333333,5.460843373493976,4.315668202764977,0.025602409638554216,0.03456221198156682,5.008196721311475,0.06182942353155119
2022,A.J. Green,WR,34,74,185,0,0,0,24,236,2,47,56,236,2,Browns,CLE,361.0,381.0,5934.0,540.0,3444.0,19.0,532.0,2490.0,19.0,350.0,21.0,0.5357,0.060836,6.377778,4.680451,0.01959,0.5106382978723404,9.833333333333334,5.0212765957446805,2.3333333333333335,0.08333333333333333,0.0425531914893617,0.0,0.0,9.833333333333334,0.08333333333333333,6.377777777777778,4.680451127819549,0.03518518518518519,0.03571428571428571,5.53544776119403,0.060835861139197846
2017,Aaron Jones,RB,23,69,208,448,81,4,9,22,0,18,31,470,4,Packers,GB,320.0,384.0,4891.0,562.0,3167.0,25.0,386.0,1724.0,13.0,307.0,25.0,0.619,0.065426,5.635231,4.466321,0.026371,0.5,2.4444444444444446,1.2222222222222223,3.4444444444444446,0.0,0.0,5.530864197530864,0.04938271604938271,5.222222222222222,0.044444444444444446,5.635231316725979,4.466321243523316,0.04448398576512456,0.03367875647668394,5.159282700421941,0.06542629319157636
2018,Aaron Jones,RB,24,69,208,728,133,8,26,206,1,35,225,934,9,Packers,GB,376.0,400.0,5905.0,640.0,4238.0,25.0,333.0,1667.0,14.0,332.0,15.0,0.617,0.063675,6.621875,5.006006,0.015416,0.7428571428571429,7.923076923076923,5.885714285714286,8.653846153846153,0.038461538461538464,0.02857142857142857,5.473684210526316,0.06015037593984962,5.8742138364779874,0.05660377358490566,6.621875,5.006006006006006,0.0390625,0.042042042042042045,6.068859198355601,0.06367485182049111
2019,Aaron Jones,RB,25,69,208,1084,236,16,49,474,3,68,453,1558,19,Packers,GB,376.0,313.0,5528.0,573.0,3733.0,26.0,411.0,1795.0,18.0,320.0,13.0,0.6786,0.068017,6.514834,4.367397,0.013211,0.7205882352941176,9.673469387755102,6.970588235294118,9.244897959183673,0.061224489795918366,0.04411764705882353,4.593220338983051,0.06779661016949153,5.466666666666667,0.06666666666666667,6.514834205933682,4.367396593673966,0.04537521815008726,0.043795620437956206,5.617886178861789,0.06801736613603473
2020,Aaron Jones,RB,26,69,208,1104,201,9,47,355,2,63,369,1459,11,Packers,GB,509.0,369.0,6224.0,526.0,4106.0,48.0,443.0,2118.0,16.0,358.0,11.0,0.7681,0.08178,7.806084,4.781038,0.011352,0.746031746031746,7.553191489361702,5.634920634920635,7.851063829787234,0.0425531914893617,0.031746031746031744,5.492537313432836,0.04477611940298507,5.883064516129032,0.04435483870967742,7.806083650190114,4.781038374717833,0.09125475285171103,0.03611738148984198,6.423116615067079,0.08178020565552699
2021,Aaron Jones,RB,27,69,208,799,171,4,52,391,6,65,412,1190,10,Packers,GB,450.0,371.0,6215.0,593.0,4315.0,39.0,446.0,1900.0,13.0,375.0,13.0,0.5753,0.072405,7.27656,4.26009,0.012512,0.8,7.519230769230769,6.015384615384615,7.923076923076923,0.11538461538461539,0.09230769230769231,4.6725146198830405,0.023391812865497075,5.336322869955157,0.04484304932735426,7.276559865092748,4.260089686098655,0.0657672849915683,0.02914798206278027,5.981713185755535,0.07240547063555913
2022,Aaron Jones,RB,28,69,208,1121,213,2,59,395,5,72,477,1516,7,Packers,GB,370.0,371.0,5745.0,563.0,3632.0,27.0,456.0,2113.0,12.0,334.0,22.0,0.5185,0.064404,6.451155,4.633772,0.02159,0.8194444444444444,6.694915254237288,5.486111111111111,8.084745762711865,0.0847457627118644,0.06944444444444445,5.262910798122066,0.009389671361502348,5.573529411764706,0.025735294117647058,6.451154529307282,4.633771929824562,0.047957371225577264,0.02631578947368421,5.637880274779195,0.06440382941688425
2023,Aaron Jones,RB,29,69,208,656,142,2,30,233,1,43,271,889,3,Packers,GB,383.0,350.0,5873.0,581.0,3968.0,32.0,441.0,1905.0,10.0,338.0,18.0,0.5342,0.065214,6.829604,4.319728,0.017613,0.6976744186046512,7.766666666666667,5.4186046511627906,9.033333333333333,0.03333333333333333,0.023255813953488372,4.619718309859155,0.014084507042253521,5.1686046511627906,0.01744186046511628,6.82960413080895,4.319727891156463,0.055077452667814115,0.022675736961451247,5.7465753424657535,0.0652136897667291
2015,Aaron Ripkowski,RB,23,73,246,0,0,0,1,18,0,1,14,18,0,Packers,GB,368.0,323.0,5353.0,573.0,3503.0,31.0,436.0,1850.0,8.0,317.0,17.0,0.55,0.068746,6.113438,4.243119,0.016848,1.0,18.0,18.0,14.0,0.0,0.0,0.0,0.0,18.0,0.0,6.113438045375218,4.243119266055046,0.05410122164048865,0.01834862385321101,5.305252725470763,0.06874649729123856
2016,Aaron Ripkowski,RB,24,73,246,150,34,2,9,46,1,10,31,196,3,Packers,GB,432.0,388.0,5900.0,620.0,4199.0,40.0,374.0,1701.0,11.0,349.0,17.0,0.6446999999999999,0.07322,6.772581,4.548128,0.017103,0.9,5.111111111111111,4.6,3.4444444444444446,0.1111111111111111,0.1,4.411764705882353,0.058823529411764705,4.558139534883721,0.06976744186046512,6.77258064516129,4.548128342245989,0.06451612903225806,0.029411764705882353,5.935613682092555,0.07322033898305084
2017,Aaron Ripkowski,RB,25,73,246,13,5,0,7,39,0,9,25,52,0,Packers,GB,320.0,384.0,4891.0,562.0,3167.0,25.0,386.0,1724.0,13.0,307.0,25.0,0.619,0.065426,5.635231,4.466321,0.026371,0.7777777777777778,5.571428571428571,4.333333333333333,3.5714285714285716,0.0,0.0,2.6,0.0,4.333333333333333,0.0,5.635231316725979,4.466321243523316,0.04448398576512456,0.03367875647668394,5.159282700421941,0.06542629319157636
2015,Adam Humphries,WR,22,71,195,0,0,0,27,260,1,41,126,260,1,Buccaneers,TB,342.0,417.0,6014.0,535.0,3852.0,22.0,455.0,2162.0,12.0,336.0,28.0,0.5294,0.056867,7.2,4.751648,0.028283,0.6585365853658537,9.62962962962963,6.341463414634147,4.666666666666667,0.037037037037037035,0.024390243902439025,0.0,0.0,9.62962962962963,0.037037037037037035,7.2,4.751648351648352,0.041121495327102804,0.026373626373626374,6.074747474747475,0.056867309610907885
2016,Adam Humphries,WR,23,71,195,18,5,0,55,622,2,81,399,640,2,Buccaneers,TB,354.0,369.0,5542.0,578.0,3926.0,29.0,453.0,1616.0,8.0,340.0,27.0,0.5185,0.063876,6.792388,3.567329,0.026188,0.6790123456790124,11.309090909090909,7.679012345679013,7.254545454545455,0.03636363636363636,0.024691358024691357,3.6,0.0,10.666666666666666,0.03333333333333333,6.7923875432525955,3.567328918322296,0.050173010380622836,0.017660044150110375,5.375363724539282,0.06387585709130278
2017,Adam Humphries,WR,24,71,195,6,1,0,61,631,1,83,296,637,1,Buccaneers,TB,335.0,382.0,5816.0,605.0,4366.0,26.0,389.0,1450.0,8.0,352.0,27.0,0.49060000000000004,0.0576,7.216529,3.727506,0.027163,0.7349397590361446,10.344262295081966,7.602409638554217,4.852459016393443,0.01639344262295082,0.012048192771084338,6.0,0.0,10.274193548387096,0.016129032258064516,7.216528925619834,3.7275064267352187,0.04297520661157025,0.02056555269922879,5.851106639839034,0.05759972489683631
2018,Adam Humphries,WR,25,71,195,11,2,0,76,816,5,105,429,827,5,Buccaneers,TB,396.0,464.0,6648.0,625.0,5125.0,36.0,389.0,1523.0,11.0,388.0,35.0,0.6,0.059567,8.2,3.915167,0.034517,0.7238095238095238,10.736842105263158,7.771428571428571,5.644736842105263,0.06578947368421052,0.047619047619047616,5.5,0.0,10.602564102564102,0.0641025641025641,8.2,3.9151670951156814,0.0576,0.028277634961439587,6.556213017751479,0.05956678700361011
2019,Adam Humphries,WR,26,71,195,1,1,0,37,374,2,47,122,375,2,Titans,TEN,402.0,331.0,5805.0,448.0,3582.0,29.0,445.0,2223.0,21.0,317.0,17.0,0.7736,0.069251,7.995536,4.995506,0.019037,0.7872340425531915,10.108108108108109,7.957446808510638,3.2972972972972974,0.05405405405405406,0.0425531914893617,1.0,0.0,9.868421052631579,0.05263157894736842,7.995535714285714,4.995505617977528,0.06473214285714286,0.04719101123595506,6.500559910414334,0.06925064599483204
2020,Adam Humphries,WR,27,71,195,0,0,0,23,228,2,35,48,228,2,Titans,TEN,491.0,439.0,6343.0,485.0,3653.0,33.0,521.0,2690.0,26.0,381.0,12.0,0.7424,0.077408,7.531959,5.163148,0.011928,0.6571428571428571,9.91304347826087,6.514285714285714,2.0869565217391304,0.08695652173913043,0.05714285714285714,0.0,0.0,9.91304347826087,0.08695652173913043,7.531958762886598,5.163147792706334,0.06804123711340206,0.04990403071017274,6.305168986083499,0.07740816648273688
2021,Adam Humphries,WR,28,71,195,0,0,0,41,383,0,62,158,383,0,Commanders,WAS,335.0,434.0,5502.0,550.0,3441.0,21.0,477.0,2061.0,13.0,345.0,24.0,0.52,0.060887,6.256364,4.320755,0.023369,0.6612903225806451,9.341463414634147,6.17741935483871,3.8536585365853657,0.0,0.0,0.0,0.0,9.341463414634147,0.0,6.256363636363637,4.320754716981132,0.038181818181818185,0.027253668763102725,5.357351509250243,0.0608869501999273
2018,Adam Shaheen,TE,24,78,270,0,0,0,5,48,1,6,16,48,1,Bears,CHI,421.0,283.0,5502.0,512.0,3564.0,28.0,468.0,1938.0,16.0,331.0,24.0,0.6315999999999999,0.076518,6.960938,4.141026,0.02449,0.8333333333333334,9.6,8.0,3.2,0.2,0.16666666666666666,0.0,0.0,9.6,0.2,6.9609375,4.141025641025641,0.0546875,0.03418803418803419,5.614285714285714,0.07651762995274446
2019,Adam Shaheen,TE,25,78,257,0,0,0,9,74,0,13,38,74,0,Bears,CHI,280.0,298.0,4749.0,580.0,3291.0,20.0,395.0,1458.0,8.0,297.0,19.0,0.5217,0.05896,5.674138,3.691139,0.019487,0.6923076923076923,8.222222222222221,5.6923076923076925,4.222222222222222,0.0,0.0,0.0,0.0,8.222222222222221,0.0,5.674137931034482,3.6911392405063292,0.034482758620689655,0.020253164556962026,4.8707692307692305,0.05895978100652769
