Year,Team,Points Scored,Points Allowed,Total Yards,Passing Yards,Rushing Yards,First Downs,Turnovers,Rush Attempts,Pass Attempts
2018,Cowboys,339,324,5501,3538,1963,322,17,439,527
2018,Dolphins,319,433,4638,2900,1738,252,23,371,455
2018,Eagles,367,348,5845,4275,1570,346,23,398,599
2018,Falcons,414,423,6226,4653,1573,352,18,351,617
2018,Giants,369,412,5697,4047,1650,297,19,354,583
2018,Jaguars,245,316,4832,3109,1723,277,29,416,536
2018,Jets,333,441,4787,3165,1622,258,30,410,524
2018,Lions,324,360,5236,3576,1660,325,19,404,574
2018,Packers,376,400,5905,4238,1667,332,15,333,640
2018,Panthers,376,382,5972,3836,2136,356,22,416,563
2018,Patriots,436,325,6295,4258,2037,365,18,478,574
2018,Raiders,290,467,5379,3751,1628,300,24,387,556
2018,Rams,527,384,6738,4507,2231,401,19,459,568
2018,Ravens,389,287,5999,3558,2441,367,20,547,556
2018,Saints,504,353,6067,4042,2025,377,16,471,519
2018,Seahawks,428,347,5653,3093,2560,329,11,534,427
2018,Steelers,428,360,6453,5008,1445,378,26,345,689
2018,Texans,402,316,5802,3781,2021,333,16,472,506
2018,Titans,310,303,4998,2975,2023,289,18,454,437
2018,Vikings,360,341,5529,4036,1493,310,20,357,606
2019,49ers,479,310,6097,3792,2305,336,23,498,478
2019,Bears,280,298,4749,3291,1458,297,19,395,580
2019,Bengals,279,420,5169,3652,1517,312,30,385,616
2019,Bills,314,259,5283,3229,2054,314,19,465,513
2019,Broncos,282,316,4777,3115,1662,279,16,409,504
2019,Browns,335,393,5455,3554,1901,305,28,393,539
2019,Buccaneers,458,449,6366,4845,1521,353,41,409,630
2019,Cardinals,361,442,5467,3477,1990,314,18,396,554
2019,Chargers,337,345,5879,4426,1453,349,31,366,597
2019,Chiefs,451,308,6067,4498,1569,350,15,375,576
2019,Colts,361,373,5238,3108,2130,340,21,471,513
2019,Commanders,266,435,4405,2822,1583,248,21,357,479
2019,Cowboys,434,321,6904,4751,2153,379,18,449,597
2019,Dolphins,306,494,4960,3804,1156,315,26,349,615
