Year,Name,RushYDs,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,REC_YACR,TotalYards,TotalTDs,Age,Pos
2015,Bryan Walters,0.0,0.0,0.0,32.0,368.0,1.0,46.0,124.0,368.0,1.0,28.0,WR
2015,Bryce Brown,72.0,25.0,1.0,0.0,0.0,0.0,2.0,0.0,72.0,1.0,24.0,RB
2015,C.J. Anderson,720.0,152.0,5.0,25.0,183.0,0.0,36.0,150.0,903.0,5.0,24.0,RB
2015,C.J. Fiedorowicz,0.0,0.0,0.0,17.0,167.0,1.0,24.0,76.0,167.0,1.0,24.0,TE
2015,C.J. Spiller,112.0,36.0,0.0,34.0,239.0,2.0,44.0,256.0,351.0,2.0,28.0,RB
2015,C.J. Uzomah,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,0.0,Unknown,TE
2015,Calvin Johnson,0.0,0.0,0.0,88.0,1214.0,9.0,150.0,312.0,1214.0,9.0,30.0,WR
2015,Cameron Artis-Payne,183.0,45.0,1.0,5.0,58.0,0.0,5.0,62.0,241.0,1.0,25.0,RB
2015,Cameron Brate,0.0,0.0,0.0,23.0,288.0,3.0,30.0,57.0,288.0,3.0,24.0,TE
2015,Cameron Meredith,0.0,0.0,0.0,11.0,120.0,0.0,16.0,39.0,120.0,0.0,Unknown,WR
2015,Carlos Hyde,470.0,115.0,3.0,11.0,53.0,0.0,15.0,64.0,523.0,3.0,25.0,RB
2015,Cecil Shorts,47.0,10.0,0.0,42.0,484.0,2.0,74.0,223.0,531.0,2.0,28.0,WR
2015,Charcandrick West,634.0,160.0,4.0,20.0,214.0,1.0,33.0,242.0,848.0,5.0,24.0,RB
2015,Charles Clay,0.0,0.0,0.0,51.0,528.0,3.0,77.0,236.0,528.0,3.0,26.0,TE
2015,Charles Sims,529.0,107.0,0.0,51.0,561.0,4.0,70.0,493.0,1090.0,4.0,25.0,RB
2015,Chase Coffman,0.0,0.0,0.0,8.0,71.0,1.0,10.0,21.0,71.0,1.0,29.0,TE
2015,Chris Conley,0.0,0.0,0.0,17.0,199.0,1.0,31.0,67.0,199.0,1.0,23.0,WR
2015,Chris Givens,18.0,4.0,0.0,20.0,353.0,1.0,54.0,62.0,371.0,1.0,26.0,WR
2015,Chris Hogan,4.0,1.0,0.0,36.0,450.0,2.0,59.0,103.0,454.0,2.0,28.0,WR
2015,Chris Ivory,1070.0,247.0,7.0,30.0,217.0,1.0,37.0,285.0,1287.0,8.0,27.0,RB
2015,Chris Johnson,814.0,196.0,3.0,6.0,58.0,0.0,13.0,67.0,872.0,3.0,30.0,RB
2015,Chris Matthews,0.0,0.0,0.0,13.0,151.0,1.0,24.0,45.0,151.0,1.0,26.0,WR
2015,Chris Polk,334.0,99.0,1.0,16.0,109.0,1.0,28.0,65.0,443.0,2.0,26.0,RB
2015,Chris Thompson,216.0,35.0,0.0,35.0,240.0,2.0,47.0,178.0,456.0,2.0,25.0,RB
2015,Christine Michael,243.0,54.0,0.0,3.0,16.0,0.0,5.0,18.0,259.0,0.0,Unknown,RB
2015,Clay Harbor,0.0,0.0,0.0,14.0,149.0,1.0,19.0,55.0,149.0,1.0,28.0,TE
2015,Clive Walford,0.0,0.0,0.0,28.0,329.0,3.0,51.0,135.0,329.0,3.0,24.0,TE
2015,Coby Fleener,0.0,0.0,0.0,54.0,491.0,3.0,85.0,183.0,491.0,3.0,27.0,TE
2015,Cody Latimer,1.0,2.0,0.0,6.0,59.0,1.0,11.0,32.0,60.0,1.0,23.0,WR
2015,Cole Beasley,0.0,0.0,0.0,52.0,536.0,5.0,74.0,320.0,536.0,5.0,26.0,WR
2015,Cordarrelle Patterson,15.0,2.0,0.0,2.0,10.0,0.0,2.0,3.0,25.0,0.0,24.0,WR
2015,Corey Brown,38.0,6.0,0.0,31.0,447.0,4.0,55.0,94.0,485.0,4.0,24.0,WR
2015,Corey Grant,2.0,6.0,0.0,2.0,13.0,0.0,3.0,17.0,15.0,0.0,Unknown,RB
2015,Craig Stevens,0.0,0.0,0.0,12.0,121.0,2.0,15.0,41.0,121.0,2.0,31.0,TE
2015,Crockett Gillmore,0.0,0.0,0.0,33.0,412.0,4.0,46.0,253.0,412.0,4.0,24.0,TE
2015,Damien Williams,59.0,16.0,0.0,21.0,142.0,1.0,27.0,95.0,201.0,1.0,23.0,RB
2015,Daniel Brown,0.0,0.0,0.0,6.0,64.0,0.0,11.0,27.0,64.0,0.0,Unknown,WR
2015,Danny Amendola,11.0,2.0,0.0,65.0,648.0,3.0,87.0,283.0,659.0,3.0,30.0,WR
2015,Danny Woodhead,336.0,98.0,3.0,80.0,755.0,6.0,106.0,735.0,1091.0,9.0,30.0,RB
2015,Darius Jennings,0.0,0.0,0.0,14.0,117.0,0.0,21.0,40.0,117.0,0.0,Unknown,WR
2015,Darren Fells,0.0,0.0,0.0,21.0,311.0,3.0,28.0,142.0,311.0,3.0,29.0,TE
