Year,Name,Position,Age,Height (in),Weight (lbs),RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate
2016,Adam Humphries,WR,23,71,195,18,5,0,55,622,2,81,399,640,2,Buccaneers,TB,354,369,5542,578,3926,29,453,1616,8,340,27,51.85%,0.063876,6.792388,3.567329,0.026188
2017,Adam Humphries,WR,24,71,195,6,1,0,61,631,1,83,296,637,1,Buccaneers,TB,335,382,5816,605,4366,26,389,1450,8,352,27,49.06%,0.0576,7.216529,3.727506,0.027163
2018,Adam Humphries,WR,25,71,195,11,2,0,76,816,5,105,429,827,5,Buccaneers,TB,396,464,6648,625,5125,36,389,1523,11,388,35,60.00%,0.059567,8.2,3.915167,0.034517
2019,Adam Humphries,WR,26,71,195,1,1,0,37,374,2,47,122,375,2,Titans,TEN,402,331,5805,448,3582,29,445,2223,21,317,17,77.36%,0.069251,7.995536,4.995506,0.019037
2020,Adam Humphries,WR,27,71,195,0,0,0,23,228,2,35,48,228,2,Titans,TEN,491,439,6343,485,3653,33,521,2690,26,381,12,74.24%,0.077408,7.531959,5.163148,0.011928
2021,Adam Humphries,WR,28,71,195,0,0,0,41,383,0,62,158,383,0,Commanders,WAS,335,434,5502,550,3441,21,477,2061,13,345,24,52.00%,0.060887,6.256364,4.320755,0.023369
2018,Adam Shaheen,TE,24,78,270,0,0,0,5,48,1,6,16,48,1,Bears,CHI,421,283,5502,512,3564,28,468,1938,16,331,24,63.16%,0.076518,6.960938,4.141026,0.02449
2019,Adam Shaheen,TE,25,78,257,0,0,0,9,74,0,13,38,74,0,Bears,CHI,280,298,4749,580,3291,20,395,1458,8,297,19,52.17%,0.05896,5.674138,3.691139,0.019487
2020,Adam Shaheen,TE,26,79,257,0,0,0,12,150,3,22,109,150,3,Dolphins,MIA,404,338,5424,559,3736,24,428,1688,15,345,20,58.33%,0.074484,6.683363,3.943925,0.020263
2021,Adam Shaheen,TE,27,79,257,0,0,0,12,110,0,16,33,110,0,Dolphins,MIA,341,373,5219,615,3651,21,442,1568,12,325,26,61.22%,0.065338,5.936585,3.547511,0.024598
2015,Adam Thielen,WR,28,74,200,89,4,0,12,144,0,18,51,233,0,Vikings,MIN,365,302,5139,454,2928,14,474,2211,18,297,17,47.73%,0.071025,6.449339,4.664557,0.018319
2016,Adam Thielen,WR,26,74,200,15,2,0,69,967,5,92,317,982,5,Vikings,MIN,327,307,5041,588,3836,20,380,1205,9,303,16,46.00%,0.064868,6.52381,3.171053,0.016529
2017,Adam Thielen,WR,27,74,200,11,1,0,91,1276,4,143,441,1287,4,Vikings,MIN,382,252,5710,527,3753,25,501,1957,15,334,14,55.56%,0.0669,7.121442,3.906188,0.013619
2018,Adam Thielen,WR,28,74,200,30,5,0,113,1373,9,153,435,1403,9,Vikings,MIN,360,341,5529,606,4036,30,357,1493,9,310,20,54.00%,0.065111,6.660066,4.182073,0.020768
2019,Adam Thielen,WR,29,74,200,6,4,1,30,418,6,48,123,424,7,Vikings,MIN,407,303,5656,466,3523,26,476,2133,19,314,20,60.66%,0.071959,7.560086,4.481092,0.021231
2020,Adam Thielen,WR,30,74,200,15,3,0,74,925,14,108,231,940,14,Vikings,MIN,430,475,6292,516,4009,35,468,2283,20,383,23,71.19%,0.068341,7.76938,4.878205,0.023374
2021,Adam Thielen,WR,31,74,200,2,1,0,67,726,10,95,239,728,10,Vikings,MIN,425,426,6168,604,4238,34,449,1930,10,332,13,62.26%,0.068904,7.016556,4.298441,0.012346
2022,Adam Thielen,WR,32,74,200,4,1,0,70,716,6,107,152,720,6,Vikings,MIN,424,427,6145,672,4484,30,404,1661,18,382,23,63.24%,0.068999,6.672619,4.111386,0.021375
2023,Adam Thielen,WR,33,74,200,6,1,0,103,1014,4,137,334,1020,4,Panthers,CAR,236,416,4510,586,2741,13,445,1769,7,297,20,50.00%,0.052328,4.677474,3.975281,0.019399
2020,Adam Trautman,TE,23,77,253,0,0,0,15,171,1,16,119,171,1,Saints,NO,482,337,6023,522,3758,28,494,2265,30,367,17,71.62%,0.080027,7.199234,4.58502,0.016732
2021,Adam Trautman,TE,24,77,253,0,0,0,27,263,2,43,111,263,2,Saints,NO,364,335,5177,504,3186,29,510,1991,12,307,18,58.93%,0.070311,6.321429,3.903922,0.017751
2022,Adam Trautman,TE,25,77,253,0,0,0,18,207,1,22,123,207,1,Saints,NO,330,345,5674,512,3692,24,465,1982,12,305,25,52.08%,0.05816,7.210938,4.262366,0.025589
2023,Adam Trautman,TE,26,77,253,0,0,0,22,204,3,35,98,204,3,Broncos,DEN,357,413,5072,513,3262,28,451,1810,8,301,22,50.85%,0.070386,6.358674,4.013304,0.022822
2015,Adrian Peterson,RB,30,73,220,1485,327,11,30,222,0,36,257,1707,11,Vikings,MIN,365,302,5139,454,2928,14,474,2211,18,297,17,47.73%,0.071025,6.449339,4.664557,0.018319
2016,Adrian Peterson,RB,31,73,220,72,37,0,3,8,0,6,12,80,0,Vikings,MIN,327,307,5041,588,3836,20,380,1205,9,303,16,46.00%,0.064868,6.52381,3.171053,0.016529
2017,Adrian Peterson,RB,32,73,220,529,156,2,11,70,0,19,56,599,2,Cardinals,ARI,295,361,5026,598,3640,21,409,1386,6,310,25,41.67%,0.058695,6.086957,3.388753,0.024826
2018,Adrian Peterson,RB,33,73,220,1042,251,7,20,208,1,26,206,1250,8,Commanders,WAS,281,359,4795,509,3021,16,414,1774,12,280,19,52.50%,0.058603,5.492727,4.285024,0.020585
2019,Adrian Peterson,RB,34,73,220,898,211,5,17,142,0,23,160,1040,5,Commanders,WAS,266,435,4395,479,2812,18,356,1583,9,248,21,48.78%,0.060523,5.112727,4.446629,0.02515
2020,Adrian Peterson,RB,35,73,220,604,156,7,12,101,0,18,102,705,7,Lions,DET,377,519,5603,582,4104,27,367,1499,17,350,21,66.04%,0.067285,7.051546,4.084469,0.022129
2021,Adrian Peterson,RB,36,73,220,98,38,2,4,8,0,4,19,106,2,Seahawks,SEA,395,366,5506,495,3432,30,413,2074,18,302,13,64.58%,0.07174,6.933333,5.021792,0.014317
2015,Ahmad Bradshaw,RB,29,70,217,85,31,0,10,64,3,13,55,149,3,Colts,IND,333,408,5142,619,3704,26,396,1438,6,311,30,53.06%,0.064761,5.983845,3.631313,0.029557
2020,AJ Dillon,RB,22,72,247,242,46,2,2,21,0,2,16,263,2,Packers,GB,509,369,6224,526,4106,48,443,2118,16,358,11,76.81%,0.08178,7.806084,4.781038,0.011352
2021,AJ Dillon,RB,23,72,247,803,187,5,34,313,2,37,310,1116,7,Packers,GB,450,371,6215,593,4315,39,446,1900,13,375,13,57.53%,0.072405,7.27656,4.26009,0.012512
2022,AJ Dillon,RB,24,72,247,770,186,7,28,206,0,43,203,976,7,Packers,GB,370,371,5745,563,3632,27,456,2113,12,334,22,51.85%,0.064404,6.451155,4.633772,0.02159
2023,AJ Dillon,RB,25,72,250,613,178,2,22,223,0,28,231,836,2,Packers,GB,383,350,5873,581,3968,32,441,1905,10,338,18,53.42%,0.065214,6.829604,4.319728,0.017613
2016,Alan Cross,TE,23,73,245,0,0,0,6,38,1,10,15,38,1,Buccaneers,TB,354,369,5542,578,3926,29,453,1616,8,340,27,51.85%,0.063876,6.792388,3.567329,0.026188
2017,Alan Cross,TE,24,73,235,0,0,0,5,58,0,6,29,58,0,Buccaneers,TB,335,382,5816,605,4366,26,389,1450,8,352,27,49.06%,0.0576,7.216529,3.727506,0.027163
2018,Alan Cross,TE,25,73,235,0,0,0,2,9,0,5,6,9,0,Buccaneers,TB,396,464,6648,625,5125,36,389,1523,11,388,35,60.00%,0.059567,8.2,3.915167,0.034517
2020,Albert Okwuegbunam,TE,22,77,255,0,0,0,11,121,1,15,72,121,1,Broncos,DEN,323,446,5369,556,3451,21,442,1918,13,308,32,53.33%,0.06016,6.206835,4.339367,0.032064
2021,Albert Okwuegbunam,TE,23,77,255,0,0,0,33,330,2,40,245,330,2,Broncos,DEN,335,322,5618,541,3593,20,455,2025,16,331,18,54.72%,0.05963,6.641405,4.450549,0.018072
2022,Albert Okwuegbunam,TE,24,77,255,0,0,0,10,95,1,18,59,95,1,Broncos,DEN,287,359,5527,571,3592,18,444,1935,11,300,24,55.56%,0.051927,6.290718,4.358108,0.023645
2023,Albert Okwuegbunam,TE,25,77,255,0,0,0,0,0,0,1,0,0,0,Eagles,PHI,433,428,6024,563,3834,24,510,2190,22,377,28,59.68%,0.071879,6.809947,4.294118,0.026095
2015,Albert Wilson,WR,23,69,200,26,5,0,35,451,2,57,224,477,2,Chiefs,KC,405,287,5299,473,3255,20,436,2044,19,303,15,57.38%,0.07643,6.881607,4.688073,0.016502
2016,Albert Wilson,WR,24,69,200,50,2,1,31,279,2,51,151,329,3,Chiefs,KC,389,311,5488,546,3740,19,412,1748,15,305,17,47.37%,0.070882,6.849817,4.242718,0.017745
2017,Albert Wilson,WR,25,69,200,6,3,0,42,554,3,63,323,560,3,Chiefs,KC,415,339,6007,543,4104,26,405,1903,12,322,11,45.28%,0.069086,7.558011,4.698765,0.011603
2018,Albert Wilson,WR,26,69,186,16,8,0,26,391,4,35,345,407,4,Dolphins,MIA,319,433,4638,455,2900,26,371,1738,7,252,23,51.61%,0.06878,6.373626,4.684636,0.027845
2019,Albert Wilson,WR,27,69,195,45,5,0,43,351,1,62,181,396,1,Dolphins,MIA,306,494,4960,615,3804,22,349,1156,10,315,26,56.25%,0.061694,6.185366,3.312321,0.026971
2021,Albert Wilson,WR,29,69,195,17,4,0,25,213,0,39,138,230,0,Dolphins,MIA,341,373,5219,615,3651,21,442,1568,12,325,26,61.22%,0.065338,5.936585,3.547511,0.024598
2016,Aldrick Robinson,WR,28,70,181,0,0,0,20,323,2,32,79,323,2,Falcons,ATL,540,406,6653,537,4725,38,421,1928,20,379,11,64.56%,0.081166,8.798883,4.579572,0.011482
2017,Aldrick Robinson,WR,29,70,187,0,0,0,19,260,2,48,37,260,2,49ers,SF,331,383,5589,607,3925,15,408,1664,15,321,23,47.06%,0.059223,6.466227,4.078431,0.02266
2018,Aldrick Robinson,WR,30,70,187,0,0,0,17,231,5,35,41,231,5,Vikings,MIN,360,341,5529,606,4036,30,357,1493,9,310,20,54.00%,0.065111,6.660066,4.182073,0.020768
