Year,Name,Position,Age,Height (in),Weight (lbs),RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate
2021,Dede Westbrook,WR,28,72,176,0,0,0,10,68,0,15,17,68,0,Vikings,MIN,425,426,6168,604,4238,34,449,1930,10,332,13,62.26%,0.068904,7.016556,4.298441,0.012346
2020,DeeJay Dallas,RB,22,70,214,108,34,2,17,111,1,20,113,219,3,Seahawks,SEA,459,371,5912,563,3941,40,411,1971,15,356,18,73.68%,0.077639,7,4.79562,0.01848
2021,DeeJay Dallas,RB,23,70,214,138,33,2,21,133,0,23,110,271,2,Seahawks,SEA,395,366,5506,495,3432,30,413,2074,18,302,13,64.58%,0.07174,6.933333,5.021792,0.014317
2022,DeeJay Dallas,RB,24,70,214,186,35,0,17,126,0,19,126,312,0,Seahawks,SEA,407,401,5976,573,3934,30,425,2042,12,346,23,48.28%,0.068106,6.86562,4.804706,0.023046
2023,DeeJay Dallas,RB,25,70,214,36,10,0,6,26,0,9,31,62,0,Seahawks,SEA,364,402,5490,575,3910,23,382,1580,11,317,17,48.15%,0.066302,6.8,4.136126,0.017764
2015,Delanie Walker,TE,31,72,248,36,1,0,94,1088,6,134,391,1124,6,Titans,TEN,299,423,4988,551,3503,25,371,1485,10,298,33,65.00%,0.059944,6.357532,4.002695,0.035792
2016,Delanie Walker,TE,32,74,248,11,2,0,65,800,7,102,280,811,7,Titans,TEN,381,378,5728,504,3541,29,476,2187,16,322,18,72.00%,0.066515,7.025794,4.594538,0.018367
2017,Delanie Walker,TE,33,74,248,-2,2,1,74,807,3,111,260,805,4,Titans,TEN,334,356,5024,496,3191,14,443,1833,18,290,25,54.55%,0.066481,6.433468,4.137698,0.026624
2018,Delanie Walker,WR,34,74,248,0,0,0,4,52,0,7,19,52,0,Titans,TEN,310,303,4998,437,2975,16,454,2023,15,289,18,53.19%,0.062025,6.80778,4.455947,0.020202
2019,Delanie Walker,WR,35,74,248,0,0,0,21,215,2,31,73,215,2,Titans,TEN,402,331,5805,448,3582,29,445,2223,21,317,17,77.36%,0.069251,7.995536,4.995506,0.019037
2015,DeMarco Murray,RB,27,72,217,702,193,6,44,322,1,55,402,1024,7,Eagles,PHI,377,430,5830,623,4087,23,442,1743,15,339,31,55.81%,0.064666,6.560193,3.943439,0.029108
2016,DeMarco Murray,RB,28,73,220,1287,293,9,53,377,3,67,377,1664,12,Titans,TEN,381,378,5728,504,3541,29,476,2187,16,322,18,72.00%,0.066515,7.025794,4.594538,0.018367
2017,DeMarco Murray,RB,29,73,220,659,184,6,39,266,1,47,259,925,7,Titans,TEN,334,356,5024,496,3191,14,443,1833,18,290,25,54.55%,0.066481,6.433468,4.137698,0.026624
2017,Demarcus Robinson,WR,23,73,203,0,0,0,21,212,0,40,47,212,0,Chiefs,KC,415,339,6007,543,4104,26,405,1903,12,322,11,45.28%,0.069086,7.558011,4.698765,0.011603
2018,Demarcus Robinson,WR,24,73,203,0,0,0,22,288,4,33,116,288,4,Chiefs,KC,565,421,6810,583,4955,50,387,1855,16,384,18,73.08%,0.082966,8.499142,4.793282,0.018557
2019,Demarcus Robinson,WR,25,73,203,0,0,0,32,449,4,55,105,449,4,Chiefs,KC,451,308,6067,576,4498,30,375,1569,16,350,15,60.00%,0.074337,7.809028,4.184,0.015773
2020,Demarcus Robinson,WR,26,73,203,0,0,0,45,466,3,59,164,466,3,Chiefs,KC,473,362,6653,630,4854,40,403,1799,13,397,16,58.90%,0.071096,7.704762,4.46402,0.015489
2021,Demarcus Robinson,WR,27,73,203,0,0,0,25,264,3,41,62,264,3,Chiefs,KC,480,364,6746,675,4791,37,431,1955,16,419,25,62.20%,0.071153,7.097778,4.535963,0.022604
2022,Demarcus Robinson,WR,28,73,203,0,0,0,48,458,2,75,150,458,2,Ravens,BAL,350,315,5760,488,3040,19,526,2720,14,337,21,44.44%,0.060764,6.229508,5.171103,0.02071
2023,Demarcus Robinson,WR,29,73,203,23,1,0,26,371,4,39,89,394,4,Rams,LA,404,377,6108,583,4063,26,477,2045,18,351,18,60.34%,0.066143,6.969125,4.287212,0.016981
2015,Demaryius Thomas,WR,28,75,229,0,0,0,105,1304,6,176,495,1304,6,Broncos,DEN,355,296,5688,606,3970,19,411,1718,13,314,31,46.15%,0.062412,6.551155,4.180049,0.030482
2016,Demaryius Thomas,WR,29,75,229,0,0,0,90,1083,5,145,334,1083,5,Broncos,DEN,333,297,5169,570,3685,20,410,1484,11,290,25,46.81%,0.064423,6.464912,3.619512,0.02551
2017,Demaryius Thomas,WR,30,75,229,0,0,0,83,949,5,141,299,949,5,Broncos,DEN,289,382,5185,566,3333,19,457,1852,8,297,34,39.58%,0.055738,5.888693,4.052516,0.033236
2018,Demaryius Thomas,WR,31,75,229,0,0,0,59,677,5,89,286,677,5,Texans,HOU,402,316,5802,506,3781,26,472,2021,12,333,16,50.00%,0.069286,7.472332,4.28178,0.01636
2019,Demaryius Thomas,WR,32,75,225,0,0,0,36,433,1,58,176,433,1,Jets,NYJ,276,359,4368,521,3111,19,383,1257,6,253,25,54.55%,0.063187,5.971209,3.281984,0.027655
2021,Demetric Felton,WR,23,69,185,24,7,0,18,181,2,21,201,205,2,Browns,CLE,349,371,5791,520,3320,21,485,2471,20,342,22,62.00%,0.060266,6.384615,5.094845,0.021891
2022,Demetric Felton,WR,24,69,185,-4,1,0,2,8,0,4,11,4,0,Browns,CLE,361,381,5934,540,3444,19,532,2490,19,350,21,53.57%,0.060836,6.377778,4.680451,0.01959
2015,Demetrius Harris,TE,24,79,230,0,0,0,7,74,1,12,21,74,1,Chiefs,KC,405,287,5299,473,3255,20,436,2044,19,303,15,57.38%,0.07643,6.881607,4.688073,0.016502
2016,Demetrius Harris,WR,25,79,230,0,0,0,17,123,1,31,51,123,1,Chiefs,KC,389,311,5488,546,3740,19,412,1748,15,305,17,47.37%,0.070882,6.849817,4.242718,0.017745
2017,Demetrius Harris,TE,26,79,230,0,0,0,18,224,1,35,131,224,1,Chiefs,KC,415,339,6007,543,4104,26,405,1903,12,322,11,45.28%,0.069086,7.558011,4.698765,0.011603
2018,Demetrius Harris,TE,27,79,230,0,0,0,12,164,3,25,80,164,3,Chiefs,KC,565,421,6810,583,4955,50,387,1855,16,384,18,73.08%,0.082966,8.499142,4.793282,0.018557
2019,Demetrius Harris,TE,28,79,230,0,0,0,15,149,3,27,66,149,3,Browns,CLE,335,393,5455,539,3554,22,393,1901,15,305,28,58.00%,0.061412,6.593692,4.83715,0.030043
2020,Demetrius Harris,TE,29,79,230,0,0,0,7,45,0,14,26,45,0,Bears,CHI,372,370,5302,614,3655,26,393,1647,12,335,22,56.14%,0.070162,5.952769,4.19084,0.021847
2021,Demetrius Harris,TE,30,79,230,0,0,0,3,10,0,6,13,10,0,Cardinals,ARI,449,366,6352,591,4276,27,496,2076,23,367,15,60.61%,0.070686,7.235195,4.185484,0.013799
2015,Denard Robinson,WR,25,72,215,266,67,1,21,164,0,30,156,430,1,Jaguars,JAX,376,448,5581,607,4108,35,354,1473,5,313,28,53.70%,0.067371,6.76771,4.161017,0.029136
2016,Denard Robinson,WR,26,72,213,144,41,0,3,22,0,5,30,166,0,Jaguars,JAX,318,400,5359,626,3728,24,392,1631,8,321,29,60.00%,0.059339,5.955272,4.160714,0.028487
2016,Dennis Pitta,TE,31,76,238,0,0,0,86,729,2,119,312,729,2,Ravens,BAL,343,321,5563,679,4100,20,367,1463,10,316,23,52.17%,0.061657,6.038292,3.986376,0.021989
2020,Denzel Mims,WR,23,75,208,0,0,0,23,357,0,44,105,357,0,Jets,NYJ,243,457,4479,499,2796,16,406,1683,9,269,19,42.11%,0.054253,5.603206,4.14532,0.020994
2021,Denzel Mims,WR,24,75,208,0,0,0,8,133,0,23,49,133,0,Jets,NYJ,310,504,5208,603,3541,20,380,1667,14,310,27,54.90%,0.059524,5.872305,4.386842,0.027467
2022,Denzel Mims,WR,25,75,208,0,0,0,11,186,0,25,75,186,0,Jets,NYJ,296,316,5409,627,3723,15,405,1686,13,294,23,43.48%,0.054724,5.937799,4.162963,0.022287
2021,Deon Jackson,RB,22,72,220,31,13,1,0,0,0,0,0,31,1,Colts,IND,451,365,5901,521,3361,27,499,2540,22,354,19,56.25%,0.076428,6.451056,5.09018,0.018627
2022,Deon Jackson,RB,23,72,220,236,68,1,30,209,1,34,228,445,2,Colts,IND,289,427,5298,604,3432,17,439,1866,8,310,34,45.83%,0.054549,5.682119,4.250569,0.032598
2023,Deon Jackson,RB,24,72,220,16,14,0,5,14,0,6,20,30,0,Giants,NYG,266,407,4760,518,2886,15,454,1874,10,267,19,44.19%,0.055882,5.571429,4.127753,0.019547
2019,Deonte Harty,WR,22,66,170,31,4,0,6,24,0,6,38,55,0,Saints,NO,458,341,5982,581,4244,36,405,1738,12,347,8,59.32%,0.076563,7.304647,4.291358,0.008114
2020,Deonte Harty,WR,23,66,170,51,6,0,20,186,1,25,123,237,1,Saints,NO,482,337,6023,522,3758,28,494,2265,30,367,17,71.62%,0.080027,7.199234,4.58502,0.016732
2021,Deonte Harty,WR,24,66,170,41,5,0,36,570,3,59,246,611,3,Saints,NO,364,335,5177,504,3186,29,510,1991,12,307,18,58.93%,0.070311,6.321429,3.903922,0.017751
2022,Deonte Harty,WR,25,66,170,0,0,0,2,13,0,2,8,13,0,Saints,NO,330,345,5674,512,3692,24,465,1982,12,305,25,52.08%,0.05816,7.210938,4.262366,0.025589
2023,Deonte Harty,WR,26,66,170,0,4,0,15,150,1,21,79,150,1,Bills,BUF,451,311,6366,579,4154,29,512,2212,22,381,28,63.89%,0.070845,7.174439,4.320313,0.025665
2015,Deonte Thompson,WR,26,72,203,0,0,0,2,81,0,3,6,81,0,Bears,CHI,335,397,5514,523,3663,21,469,1851,13,312,21,48.98%,0.060754,7.003824,3.946695,0.021169
2016,Deonte Thompson,WR,27,72,205,0,0,0,22,249,2,36,49,249,2,Bears,CHI,279,399,5704,559,3969,19,380,1735,10,324,31,51.02%,0.048913,7.100179,4.565789,0.033014
2017,Deonte Thompson,WR,28,72,204,-5,2,0,38,555,2,69,104,550,2,Bills,BUF,302,359,4842,476,2825,16,487,2017,12,278,16,51.11%,0.062371,5.934874,4.141684,0.016615
2018,Deonte Thompson,WR,29,72,204,0,0,0,17,161,0,30,38,161,0,Bills,BUF,269,374,4778,499,2794,13,468,1984,15,283,32,59.46%,0.0563,5.599198,4.239316,0.033092
2015,Derek Carrier,TE,25,76,241,0,0,0,17,141,1,22,81,141,1,Commanders,WAS,388,379,5661,555,4095,30,429,1566,9,317,22,58.49%,0.068539,7.445455,3.65035,0.022358
2016,Derek Carrier,TE,26,76,241,0,0,0,2,10,0,2,3,10,0,Commanders,WAS,396,383,6454,607,4758,27,379,1696,10,345,21,45.90%,0.061357,8.650909,4.474934,0.021298
2017,Derek Carrier,TE,27,76,244,0,0,0,8,71,0,11,50,71,0,Rams,LA,478,329,5784,518,3831,28,454,1953,17,311,21,53.42%,0.082642,7.395753,4.301762,0.021605
2018,Derek Carrier,TE,28,76,244,0,0,0,7,67,1,12,22,67,1,Raiders,OAK,290,467,5379,556,3751,19,387,1628,9,300,24,53.49%,0.053913,6.746403,4.206718,0.025451
2019,Derek Carrier,TE,29,75,240,27,1,0,13,108,1,19,50,135,1,Raiders,OAK,313,419,5819,523,3926,22,437,1893,13,315,17,52.83%,0.053789,7.506692,4.331808,0.017708
2020,Derek Carrier,TE,30,75,240,0,0,0,1,14,0,1,19,14,0,Raiders,LV,434,478,6133,551,4217,28,457,1916,20,359,26,54.24%,0.070765,7.653358,4.19256,0.025794
2021,Derek Carrier,TE,31,75,240,0,0,0,2,13,0,2,6,13,0,Raiders,LV,374,439,6184,628,4567,23,414,1617,14,349,24,49.23%,0.060479,7.272293,3.905797,0.023033
2016,Derek Watt,RB,24,74,234,4,2,0,4,83,0,4,63,87,0,Chargers,SD,410,423,5708,580,4198,33,398,1510,10,340,35,51.61%,0.071829,7.237931,3.79397,0.035787
2017,Derek Watt,RB,25,74,234,24,6,0,2,35,0,3,29,59,0,Chargers,LAC,355,272,6026,583,4431,28,419,1595,10,337,15,46.81%,0.058911,7.600343,3.806683,0.01497
2018,Derek Watt,RB,26,74,234,11,4,0,1,2,0,1,0,13,0,Chargers,LAC,428,329,5962,512,4089,32,399,1873,16,338,19,64.41%,0.071788,7.986328,4.694236,0.020856
2019,Derek Watt,RB,27,74,234,10,7,1,3,32,0,5,28,42,1,Chargers,LAC,337,345,5879,597,4426,24,366,1453,12,349,31,52.83%,0.057323,7.413735,3.969945,0.032191
2021,Derek Watt,RB,29,74,234,1,1,0,3,15,0,3,16,16,0,Steelers,PIT,343,398,5361,664,3778,23,411,1583,10,323,20,54.72%,0.063981,5.689759,3.851582,0.018605
2021,Derrick Gore,RB,27,70,212,256,51,2,8,105,0,9,90,361,2,Chiefs,KC,480,364,6746,675,4791,37,431,1955,16,419,25,62.20%,0.071153,7.097778,4.535963,0.022604
2016,Derrick Henry,RB,22,74,247,490,110,5,13,137,0,15,133,627,5,Titans,TEN,381,378,5728,504,3541,29,476,2187,16,322,18,72.00%,0.066515,7.025794,4.594538,0.018367
2017,Derrick Henry,RB,23,75,247,744,176,5,11,136,1,17,137,880,6,Titans,TEN,334,356,5024,496,3191,14,443,1833,18,290,25,54.55%,0.066481,6.433468,4.137698,0.026624
2018,Derrick Henry,RB,24,75,247,1059,215,12,15,99,0,18,115,1158,12,Titans,TEN,310,303,4998,437,2975,16,454,2023,15,289,18,53.19%,0.062025,6.80778,4.455947,0.020202
2019,Derrick Henry,RB,25,75,247,1540,303,16,18,206,2,24,240,1746,18,Titans,TEN,402,331,5805,448,3582,29,445,2223,21,317,17,77.36%,0.069251,7.995536,4.995506,0.019037
2020,Derrick Henry,RB,26,75,247,2027,378,17,19,114,0,31,131,2141,17,Titans,TEN,491,439,6343,485,3653,33,521,2690,26,381,12,74.24%,0.077408,7.531959,5.163148,0.011928
2021,Derrick Henry,RB,27,75,247,937,219,10,18,154,0,20,160,1091,10,Titans,TEN,419,354,5822,535,3418,22,551,2404,23,362,25,62.50%,0.071968,6.388785,4.362976,0.02302
2022,Derrick Henry,RB,28,75,247,1538,349,13,33,398,0,41,397,1936,13,Titans,TEN,298,359,5045,456,2914,16,487,2131,16,277,23,64.29%,0.059068,6.390351,4.37577,0.02439
2023,Derrick Henry,RB,29,75,247,1167,280,12,28,214,0,36,275,1381,12,Titans,TEN,305,367,4913,494,3067,14,444,1846,16,298,20,47.92%,0.06208,6.208502,4.157658,0.021322
2019,Derrius Guice,RB,22,71,225,245,42,2,7,79,1,9,88,324,3,Commanders,WAS,266,435,4395,479,2812,18,356,1583,9,248,21,48.78%,0.060523,5.112727,4.446629,0.02515
2015,DeSean Jackson,WR,29,70,178,0,0,0,30,528,4,49,155,528,4,Commanders,WAS,388,379,5661,555,4095,30,429,1566,9,317,22,58.49%,0.068539,7.445455,3.65035,0.022358
2016,DeSean Jackson,WR,30,70,178,0,0,0,56,1005,4,100,286,1005,4,Commanders,WAS,396,383,6454,607,4758,27,379,1696,10,345,21,45.90%,0.061357,8.650909,4.474934,0.021298
2017,DeSean Jackson,WR,31,70,175,38,3,0,50,668,3,91,185,706,3,Buccaneers,TB,335,382,5816,605,4366,26,389,1450,8,352,27,49.06%,0.0576,7.216529,3.727506,0.027163
2018,DeSean Jackson,WR,32,70,175,29,6,1,41,774,4,74,181,803,5,Buccaneers,TB,396,464,6648,625,5125,36,389,1523,11,388,35,60.00%,0.059567,8.2,3.915167,0.034517
2019,DeSean Jackson,WR,33,70,175,0,0,0,9,159,2,10,13,159,2,Eagles,PHI,385,354,5772,613,3833,27,454,1939,16,354,23,63.16%,0.066701,6.252855,4.270925,0.021556
2020,DeSean Jackson,WR,34,70,175,12,1,0,14,236,1,26,66,248,1,Eagles,PHI,334,418,5354,598,3327,22,403,2027,16,336,29,60.87%,0.062383,5.563545,5.029777,0.028971
2021,DeSean Jackson,WR,35,70,175,4,1,0,20,454,2,34,175,458,2,Raiders,LV,374,439,6184,628,4567,23,414,1617,14,349,24,49.23%,0.060479,7.272293,3.905797,0.023033
2022,DeSean Jackson,WR,36,70,175,0,0,0,9,153,0,17,23,153,0,Ravens,BAL,350,315,5760,488,3040,19,526,2720,14,337,21,44.44%,0.060764,6.229508,5.171103,0.02071
2015,DeVante Parker,WR,22,75,218,0,0,0,26,494,3,51,110,494,3,Dolphins,MIA,310,389,5307,588,3811,24,344,1496,11,291,19,53.49%,0.058413,6.481293,4.348837,0.020386
2016,DeVante Parker,WR,23,75,212,0,0,0,56,744,4,90,247,744,4,Dolphins,MIA,363,380,5324,477,3500,27,405,1824,14,278,23,55.10%,0.068182,7.337526,4.503704,0.026077
2017,DeVante Parker,WR,24,75,212,0,0,0,57,670,1,96,216,670,1,Dolphins,MIA,281,393,4923,602,3535,24,360,1388,4,284,29,52.63%,0.057079,5.872093,3.855556,0.030146
2018,DeVante Parker,WR,25,75,212,0,0,0,24,309,1,47,99,309,1,Dolphins,MIA,319,433,4638,455,2900,26,371,1738,7,252,23,51.61%,0.06878,6.373626,4.684636,0.027845
2019,DeVante Parker,WR,26,75,216,0,0,0,72,1202,9,128,291,1202,9,Dolphins,MIA,306,494,4960,615,3804,22,349,1156,10,315,26,56.25%,0.061694,6.185366,3.312321,0.026971
2020,DeVante Parker,WR,27,75,216,0,0,0,63,793,4,103,180,793,4,Dolphins,MIA,404,338,5424,559,3736,24,428,1688,15,345,20,58.33%,0.074484,6.683363,3.943925,0.020263
2021,DeVante Parker,WR,28,75,216,0,0,0,40,515,2,73,104,515,2,Dolphins,MIA,341,373,5219,615,3651,21,442,1568,12,325,26,61.22%,0.065338,5.936585,3.547511,0.024598
2022,DeVante Parker,WR,29,75,216,0,0,0,31,539,3,47,105,539,3,Patriots,NE,364,347,5348,540,3536,19,425,1812,12,288,23,42.22%,0.068063,6.548148,4.263529,0.023834
2023,DeVante Parker,WR,30,75,216,0,0,0,33,394,0,55,126,394,0,Patriots,NE,236,366,4696,557,3069,16,415,1627,9,261,29,58.33%,0.050256,5.509874,3.920482,0.029835
2020,Devin Asiasi,TE,23,75,260,0,0,0,2,39,1,7,7,39,1,Patriots,NE,326,353,5236,440,2890,12,502,2346,20,332,19,54.17%,0.062261,6.568182,4.673307,0.02017
2022,Devin Asiasi,TE,22,75,260,0,0,0,2,5,0,4,0,5,0,Bengals,CIN,418,322,5768,610,4240,35,399,1528,14,357,18,63.64%,0.072469,6.95082,3.829574,0.017839
2020,Devin Duvernay,WR,23,71,210,70,4,0,20,201,0,26,124,271,0,Ravens,BAL,468,303,5810,406,2739,27,555,3071,24,327,18,59.09%,0.080551,6.746305,5.533333,0.01873
2021,Devin Duvernay,WR,24,71,210,50,7,0,33,272,2,47,141,322,2,Ravens,BAL,387,392,6440,611,3961,21,517,2479,18,394,26,60.71%,0.060093,6.482815,4.794971,0.02305
2022,Devin Duvernay,WR,25,71,210,84,12,1,37,407,3,49,159,491,4,Ravens,BAL,350,315,5760,488,3040,19,526,2720,14,337,21,44.44%,0.060764,6.229508,5.171103,0.02071
2023,Devin Duvernay,WR,26,71,210,15,4,0,4,18,0,9,17,33,0,Ravens,BAL,483,280,6296,494,3635,27,541,2661,26,359,19,62.16%,0.076715,7.3583,4.918669,0.018357
2015,Devin Funchess,WR,21,76,225,0,0,0,31,473,5,64,114,473,5,Panthers,CAR,500,308,5871,501,3589,35,526,2282,19,357,19,69.44%,0.085164,7.163673,4.338403,0.0185
2016,Devin Funchess,WR,22,76,225,0,0,0,23,371,4,59,112,371,4,Panthers,CAR,369,402,5499,563,3685,21,453,1814,16,318,29,59.18%,0.067103,6.545293,4.004415,0.028543
2017,Devin Funchess,WR,23,76,225,0,0,0,63,840,8,113,290,840,8,Panthers,CAR,363,327,5179,501,3077,22,490,2102,15,320,22,51.79%,0.070091,6.141717,4.289796,0.0222
2018,Devin Funchess,WR,24,76,225,0,0,0,44,549,4,79,79,549,4,Panthers,CAR,376,382,5972,563,3836,28,416,2136,17,356,22,62.07%,0.06296,6.813499,5.134615,0.022472
2019,Devin Funchess,WR,25,76,225,0,0,0,3,32,0,5,6,32,0,Colts,IND,361,373,5238,513,3108,22,471,2130,17,340,21,64.29%,0.068919,6.05848,4.522293,0.021341
2019,Devin Singletary,RB,22,67,203,775,151,2,29,194,2,41,194,969,4,Bills,BUF,314,259,5283,513,3229,21,465,2054,13,314,19,56.52%,0.059436,6.294347,4.417204,0.019427
2020,Devin Singletary,RB,23,67,203,687,156,2,38,269,0,50,279,956,2,Bills,BUF,501,375,6343,596,4620,40,411,1723,16,397,22,61.04%,0.078985,7.751678,4.192214,0.021847
2021,Devin Singletary,RB,24,67,203,870,188,7,40,228,1,50,242,1098,8,Bills,BUF,483,289,6493,655,4284,36,461,2209,20,398,22,66.28%,0.074388,6.540458,4.791757,0.019713
2022,Devin Singletary,RB,25,67,203,819,177,5,38,280,1,52,261,1099,6,Bills,BUF,455,286,6361,574,4129,35,430,2232,15,367,27,60.00%,0.07153,7.19338,5.190698,0.026892
2023,Devin Singletary,RB,26,67,203,898,216,4,30,193,0,38,223,1091,4,Texans,HOU,377,353,5820,592,4173,27,444,1647,10,329,14,55.36%,0.064777,7.048986,3.709459,0.013514
2015,Devin Smith,WR,23,73,199,0,0,0,9,115,1,28,23,115,1,Jets,NYJ,387,314,5925,604,4057,33,448,1868,11,329,24,66.04%,0.065316,6.716887,4.169643,0.022814
2016,Devin Smith,WR,24,73,196,0,0,0,1,20,0,3,6,20,0,Jets,NYJ,275,409,5268,550,3466,16,418,1802,10,291,34,35.19%,0.052202,6.301818,4.311005,0.035124
2019,Devin Smith,WR,27,73,199,0,0,0,5,113,1,9,31,113,1,Cowboys,DAL,434,321,6904,597,4751,30,449,2153,18,379,18,57.41%,0.062862,7.958124,4.7951,0.017208
2021,Devin Smith,WR,29,73,199,0,0,0,0,0,0,1,0,0,0,Panthers,CAR,304,404,5081,599,3239,14,455,1842,17,322,29,53.19%,0.059831,5.407346,4.048352,0.027514
2015,Devin Street,WR,24,75,200,0,0,0,7,114,1,13,14,114,1,Cowboys,DAL,275,374,5361,528,3471,16,408,1890,8,307,33,44.44%,0.051296,6.573864,4.632353,0.035256
2016,Devin Street,WR,25,75,200,0,0,0,1,20,0,5,2,20,0,Colts,IND,411,392,5830,584,4202,32,409,1628,13,351,22,66.04%,0.070497,7.195205,3.98044,0.022155
2015,Devonta Freeman,RB,23,68,206,1056,265,11,73,578,3,97,445,1634,14,Falcons,ATL,339,345,5990,621,4379,21,420,1611,13,359,30,54.72%,0.056594,7.05153,3.835714,0.028818
2016,Devonta Freeman,RB,24,68,206,1079,227,11,54,462,2,65,430,1541,13,Falcons,ATL,540,406,6653,537,4725,38,421,1928,20,379,11,64.56%,0.081166,8.798883,4.579572,0.011482
2017,Devonta Freeman,RB,25,68,206,865,196,7,36,317,1,46,249,1182,8,Falcons,ATL,353,315,5837,530,3990,21,430,1847,12,330,18,49.18%,0.060476,7.528302,4.295349,0.01875
2018,Devonta Freeman,RB,26,68,206,68,14,0,5,23,0,7,23,91,0,Falcons,ATL,414,423,6226,617,4653,36,351,1573,11,352,18,64.00%,0.066495,7.541329,4.481481,0.018595
2019,Devonta Freeman,RB,27,68,206,656,184,2,59,410,4,70,353,1066,6,Falcons,ATL,381,399,6075,684,4714,29,362,1361,10,383,25,51.67%,0.062716,6.891813,3.759669,0.023901
2020,Devonta Freeman,RB,28,68,206,172,54,1,7,58,0,10,68,230,1,Bills,BUF,501,375,6343,596,4620,40,411,1723,16,397,22,61.04%,0.078985,7.751678,4.192214,0.021847
2021,Devonta Freeman,RB,29,68,206,576,133,5,34,190,1,42,183,766,6,Ravens,BAL,387,392,6440,611,3961,21,517,2479,18,394,26,60.71%,0.060093,6.482815,4.794971,0.02305
2021,DeVonta Smith,WR,23,72,165,0,0,0,64,916,5,104,208,916,5,Eagles,PHI,444,385,6119,494,3404,20,550,2715,25,352,16,62.90%,0.072561,6.890688,4.936364,0.015326
2022,DeVonta Smith,WR,24,72,165,0,0,0,95,1196,7,136,476,1196,7,Eagles,PHI,477,344,6614,536,4105,25,544,2509,32,385,19,68.00%,0.07212,7.658582,4.612132,0.017593
2023,DeVonta Smith,WR,25,72,165,0,0,0,81,1066,7,112,294,1066,7,Eagles,PHI,433,428,6024,563,3834,24,510,2190,22,377,28,59.68%,0.071879,6.809947,4.294118,0.026095
2016,Devontae Booker,RB,24,71,212,612,174,4,31,265,1,46,258,877,5,Broncos,DEN,333,297,5169,570,3685,20,410,1484,11,290,25,46.81%,0.064423,6.464912,3.619512,0.02551
2017,Devontae Booker,RB,25,71,219,299,79,1,30,275,0,38,238,574,1,Broncos,DEN,289,382,5185,566,3333,19,457,1852,8,297,34,39.58%,0.055738,5.888693,4.052516,0.033236
2018,Devontae Booker,RB,26,71,219,183,34,1,38,275,0,51,231,458,1,Broncos,DEN,329,349,5602,588,3695,19,393,1907,18,320,21,56.82%,0.058729,6.284014,4.852417,0.021407
2019,Devontae Booker,RB,27,71,219,9,2,0,6,57,0,9,41,66,0,Broncos,DEN,282,316,4777,504,3115,16,409,1662,11,279,16,47.62%,0.059033,6.180556,4.06357,0.017525
2020,Devontae Booker,RB,28,71,219,423,93,3,17,84,0,21,84,507,3,Raiders,LV,434,478,6133,551,4217,28,457,1916,20,359,26,54.24%,0.070765,7.653358,4.19256,0.025794
2021,Devontae Booker,RB,29,71,219,593,145,2,40,268,1,45,297,861,3,Giants,NYG,258,416,4884,593,3196,15,419,1688,8,299,30,44.74%,0.052826,5.389545,4.02864,0.029644
2015,Dexter McCluster,WR,26,68,170,247,55,1,31,260,1,41,213,507,2,Titans,TEN,299,423,4988,551,3503,25,371,1485,10,298,33,65.00%,0.059944,6.357532,4.002695,0.035792
2016,Dexter McCluster,WR,27,68,170,2,3,0,7,36,0,11,45,38,0,Chargers,SD,410,423,5708,580,4198,33,398,1510,10,340,35,51.61%,0.071829,7.237931,3.79397,0.035787
2015,Dez Bryant,WR,27,74,220,0,0,0,31,401,3,74,135,401,3,Cowboys,DAL,275,374,5361,528,3471,16,408,1890,8,307,33,44.44%,0.051296,6.573864,4.632353,0.035256
2016,Dez Bryant,WR,28,74,220,0,0,0,50,796,8,97,145,796,8,Cowboys,DAL,421,306,6027,483,3631,25,499,2396,24,358,15,65.57%,0.069852,7.517598,4.801603,0.015275
2017,Dez Bryant,WR,29,74,220,-4,1,0,69,838,6,133,291,834,6,Cowboys,DAL,354,332,5311,493,3141,22,480,2170,18,314,22,59.62%,0.066654,6.371197,4.520833,0.02261
2020,Dez Bryant,WR,32,74,220,0,0,0,6,47,2,11,36,47,2,Ravens,BAL,468,303,5810,406,2739,27,555,3071,24,327,18,59.09%,0.080551,6.746305,5.533333,0.01873
2021,Dez Fitzpatrick,WR,24,74,202,0,0,0,5,49,1,8,3,49,1,Titans,TEN,419,354,5822,535,3418,22,551,2404,23,362,25,62.50%,0.071968,6.388785,4.362976,0.02302
2021,Dezmon Patmon,WR,23,76,220,0,0,0,2,21,1,4,3,21,1,Colts,IND,451,365,5901,521,3361,27,499,2540,22,354,19,56.25%,0.076428,6.451056,5.09018,0.018627
2022,Dezmon Patmon,WR,24,76,220,0,0,0,2,24,0,6,7,24,0,Bills,BUF,455,286,6361,574,4129,35,430,2232,15,367,27,60.00%,0.07153,7.19338,5.190698,0.026892
