Year,Name,Position,Age,RushYDs,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs
2015,Craig Stevens,TE,31,0,0,0,12,121,2,15,41,121,2
2015,Crockett Gillmore,TE,24,0,0,0,33,412,4,46,253,412,4
2015,Damien Williams,RB,23,59,16,0,21,142,1,27,95,201,1
2015,Daniel Brown,WR,23,0,0,0,6,64,0,11,27,64,0
2015,Danny Amendola,WR,30,11,2,0,65,648,3,87,283,659,3
2015,Danny Woodhead,RB,30,336,98,3,80,755,6,106,735,1091,9
2015,Darius Jennings,WR,23,0,0,0,14,117,0,21,40,117,0
2015,Darren Fells,TE,29,0,0,0,21,311,3,28,142,311,3
2015,Darren McFadden,RB,28,1089,239,3,40,328,0,54,322,1417,3
2015,Darren Sproles,RB,32,317,83,3,55,388,1,84,376,705,4
2015,Darren Waller,TE,23,0,0,0,2,18,0,6,13,18,0
2015,Darrius Heyward-Bey,WR,28,0,0,0,21,314,2,39,83,314,2
2015,Davante Adams,WR,23,0,0,0,50,483,1,93,141,483,1
2015,David Cobb,RB,22,146,52,1,1,-2,0,2,3,144,1
2015,David Johnson,RB,24,581,125,8,36,457,4,57,356,1038,12
2015,David Johnson,RB,24,581,125,8,1,4,0,3,4,585,8
2015,David Johnson,RB,24,4,2,0,36,457,4,57,356,461,4
2015,David Johnson,RB,24,4,2,0,1,4,0,3,4,8,0
2015,De'Anthony Thomas,RB,22,34,9,1,17,140,1,24,154,174,2
2015,DeAndre Hopkins,WR,23,0,0,0,111,1521,11,192,219,1521,11
2015,DeAngelo Williams,RB,32,907,200,11,40,367,0,47,371,1274,11
2015,Delanie Walker,TE,31,36,1,0,94,1088,6,134,391,1124,6
2015,DeMarco Murray,RB,27,702,193,6,44,322,1,55,402,1024,7
2015,Demaryius Thomas,WR,28,0,0,0,105,1304,6,176,495,1304,6
2015,Demetrius Harris,TE,24,0,0,0,7,74,1,12,21,74,1
2015,Denard Robinson,WR,25,266,67,1,21,164,0,30,156,430,1
2015,Deonte Thompson,WR,26,0,0,0,2,81,0,3,6,81,0
2015,Derek Carrier,TE,25,0,0,0,17,141,1,22,81,141,1
2015,DeSean Jackson,WR,29,0,0,0,30,528,4,49,155,528,4
2015,DeVante Parker,WR,22,0,0,0,26,494,3,51,110,494,3
2015,Devin Funchess,WR,21,0,0,0,31,473,5,64,114,473,5
2015,Devin Smith,WR,23,0,0,0,9,115,1,28,23,115,1
2015,Devin Street,WR,24,0,0,0,7,114,1,13,14,114,1
2015,Devonta Freeman,RB,23,1056,265,11,73,578,3,97,445,1634,14
2015,Dexter McCluster,WR,26,247,55,1,31,260,1,41,213,507,2
2015,Dez Bryant,WR,27,0,0,0,31,401,3,74,135,401,3
2015,Dion Lewis,RB,25,234,49,2,36,388,2,50,338,622,4
2015,Dion Sims,TE,24,0,0,0,18,127,1,25,85,127,1
2015,Donald Brown,RB,28,229,59,1,8,88,0,13,109,317,1
2015,Donte Moncrief,WR,22,0,0,0,64,733,6,105,271,733,6
