Year,Team,Team (Abbr),Points Scored,Points Allowed,Total Yards,Passing Yards,Rushing Yards,First Downs,Turnovers,Rush Attempts,Pass Attempts,RZSP,OffensiveEfficiency,PassingEfficiency,RushingEfficiency,TurnoverRate,Team PassingTDs,Team Rushing TDs
2021,Jaguars,JAX,253,457,5191,3436,1755,304,29,392,604,51.28%,0.048738,5.688742,4.477041,0.029116,12,13
2021,Jets,NYJ,310,504,5208,3541,1667,310,27,380,603,54.90%,0.059524,5.872305,4.386842,0.027467,20,14
2021,Lions,DET,325,467,5484,3598,1886,329,23,427,593,46.67%,0.059263,6.067454,4.416862,0.022549,23,12
2021,Packers,GB,450,371,6215,4315,1900,375,13,446,593,57.53%,0.072405,7.27656,4.26009,0.012512,39,13
2021,Panthers,CAR,304,404,5081,3239,1842,322,29,455,599,53.19%,0.059831,5.407346,4.048352,0.027514,14,17
2021,Patriots,NE,462,303,6008,3857,2151,362,23,489,535,63.08%,0.076897,7.209346,4.398773,0.022461,24,24
2021,Raiders,LV,374,439,6184,4567,1617,349,24,414,628,49.23%,0.060479,7.272293,3.905797,0.023033,23,14
2021,Rams,LA,460,372,6325,4642,1683,355,23,420,607,59.09%,0.072727,7.647446,4.007143,0.022395,41,10
2021,Ravens,BAL,387,392,6440,3961,2479,394,26,517,611,60.71%,0.060093,6.482815,4.794971,0.02305,21,18
2021,Saints,NO,364,335,5177,3186,1991,307,18,510,504,58.93%,0.070311,6.321429,3.903922,0.017751,29,12
2021,Seahawks,SEA,395,366,5506,3432,2074,302,13,413,495,64.58%,0.07174,6.933333,5.021792,0.014317,30,18
2021,Steelers,PIT,343,398,5361,3778,1583,323,20,411,664,54.72%,0.063981,5.689759,3.851582,0.018605,23,10
2021,Texans,HOU,280,452,4727,3305,1422,266,22,420,546,51.35%,0.059234,6.053114,3.385714,0.022774,21,8
2021,Titans,TEN,419,354,5822,3418,2404,362,25,551,535,62.50%,0.071968,6.388785,4.362976,0.02302,22,23
2021,Vikings,MIN,425,426,6168,4238,1930,332,13,449,604,62.26%,0.068904,7.016556,4.298441,0.012346,34,10
2022,49ers,SF,450,277,6216,3856,2360,347,17,504,512,52.78%,0.072394,7.53125,4.68254,0.016732,30,20
2022,Bears,CHI,326,463,5233,2219,3014,278,25,558,377,56.00%,0.062297,5.885942,5.401434,0.026738,19,18
2022,Bengals,CIN,418,322,5768,4240,1528,357,18,399,610,63.64%,0.072469,6.95082,3.829574,0.017839,35,14
2022,Bills,BUF,455,286,6361,4129,2232,367,27,430,574,60.00%,0.07153,7.19338,5.190698,0.026892,35,15
2022,Broncos,DEN,287,359,5527,3592,1935,300,24,444,571,55.56%,0.051927,6.290718,4.358108,0.023645,18,11
2022,Browns,CLE,361,381,5934,3444,2490,350,21,532,540,53.57%,0.060836,6.377778,4.680451,0.01959,19,19
2022,Buccaneers,TB,313,358,5894,4586,1308,346,22,386,751,50.94%,0.053105,6.106525,3.388601,0.019349,26,5
2022,Cardinals,ARI,340,449,5499,3626,1873,326,25,434,664,56.82%,0.061829,5.460843,4.315668,0.022769,17,15
2022,Chargers,LAC,391,384,6108,4584,1524,352,19,404,711,54.55%,0.064014,6.447257,3.772277,0.01704,26,15
2022,Chiefs,KC,496,369,7032,5062,1970,408,23,417,651,71.08%,0.070535,7.77573,4.724221,0.021536,41,18
2022,Colts,IND,289,427,5298,3432,1866,310,34,439,604,45.83%,0.054549,5.682119,4.250569,0.032598,17,8
2022,Commanders,WAS,321,343,5615,3472,2143,339,23,538,554,51.06%,0.057168,6.267148,3.983271,0.021062,24,9
2022,Cowboys,DAL,467,342,6034,3736,2298,347,23,531,556,71.43%,0.077395,6.719424,4.327684,0.021159,28,24
2022,Dolphins,MIA,397,399,6197,4511,1686,342,21,390,584,59.26%,0.064063,7.724315,4.323077,0.021561,30,12
2022,Eagles,PHI,477,344,6614,4105,2509,385,19,544,536,68.00%,0.07212,7.658582,4.612132,0.017593,25,32
2022,Falcons,ATL,365,386,5417,2699,2718,330,21,559,415,55.56%,0.06738,6.503614,4.862254,0.021561,17,17
2022,Giants,NYG,365,371,5676,3157,2519,352,16,520,520,64.81%,0.064306,6.071154,4.844231,0.015385,17,21
2022,Jaguars,JAX,404,350,6075,3959,2116,352,22,448,596,55.38%,0.066502,6.642617,4.723214,0.021073,25,16
2022,Jets,NYJ,296,316,5409,3723,1686,294,23,405,627,43.48%,0.054724,5.937799,4.162963,0.022287,15,13
2022,Lions,DET,453,427,6460,4281,2179,376,15,480,588,66.18%,0.070124,7.280612,4.539583,0.014045,29,23
2022,Packers,GB,370,371,5745,3632,2113,334,22,456,563,51.85%,0.064404,6.451155,4.633772,0.02159,27,12
2022,Panthers,CAR,347,374,5206,2996,2210,281,21,483,457,56.52%,0.066654,6.555799,4.575569,0.02234,16,16
2022,Patriots,NE,364,347,5348,3536,1812,288,23,425,540,42.22%,0.068063,6.548148,4.263529,0.023834,19,12
2022,Raiders,LV,395,418,5993,3934,2059,343,21,428,586,48.94%,0.06591,6.713311,4.810748,0.02071,28,12
2022,Rams,LA,307,384,4769,3108,1661,293,23,411,531,55.56%,0.064374,5.853107,4.041363,0.024416,16,15
2022,Ravens,BAL,350,315,5760,3040,2720,337,21,526,488,44.44%,0.060764,6.229508,5.171103,0.02071,19,14
2022,Saints,NO,330,345,5674,3692,1982,305,25,465,512,52.08%,0.05816,7.210938,4.262366,0.025589,24,12
2022,Seahawks,SEA,407,401,5976,3934,2042,346,23,425,573,48.28%,0.068106,6.86562,4.804706,0.023046,30,12
2022,Steelers,PIT,308,346,5484,3411,2073,345,19,500,571,51.92%,0.056163,5.97373,4.146,0.01774,12,16
2022,Texans,HOU,289,420,4820,3344,1476,277,28,398,579,47.92%,0.059959,5.775475,3.708543,0.028659,20,7
2022,Titans,TEN,298,359,5045,2914,2131,277,23,487,456,64.29%,0.059068,6.390351,4.37577,0.02439,16,16
2022,Vikings,MIN,424,427,6145,4484,1661,382,23,404,672,63.24%,0.068999,6.672619,4.111386,0.021375,30,18
2023,49ers,SF,491,298,6773,4384,2389,383,18,499,491,68.00%,0.072494,8.928717,4.787575,0.018182,33,27
2023,Bears,CHI,360,379,5495,3096,2399,322,25,534,513,57.14%,0.065514,6.035088,4.492509,0.023878,19,16
2023,Bengals,CIN,366,384,5422,3895,1527,329,16,383,615,59.62%,0.067503,6.333333,3.986945,0.016032,27,12
2023,Bills,BUF,451,311,6366,4154,2212,381,28,512,579,63.89%,0.070845,7.174439,4.320313,0.025665,29,22
2023,Broncos,DEN,357,413,5072,3262,1810,301,22,451,513,50.85%,0.070386,6.358674,4.013304,0.022822,28,8
2023,Browns,CLE,396,362,5710,3693,2017,325,37,518,624,57.69%,0.069352,5.918269,3.893822,0.032399,24,15
2023,Buccaneers,TB,348,325,5321,3812,1509,300,18,439,568,48.08%,0.065401,6.711268,3.437358,0.017875,28,8
2023,Cardinals,ARI,330,455,5509,3144,2365,330,18,471,555,62.79%,0.059902,5.664865,5.021231,0.017544,18,17
2023,Chargers,LAC,346,398,5599,3957,1642,319,21,431,632,57.45%,0.061797,6.261076,3.809745,0.019755,24,11
2023,Chiefs,KC,371,294,5973,4189,1784,350,28,417,635,51.25%,0.062113,6.59685,4.278177,0.026616,28,9
2023,Colts,IND,396,415,5725,3666,2059,324,22,479,574,49.12%,0.06917,6.38676,4.298539,0.020893,18,19
2023,Commanders,WAS,329,518,5317,3725,1592,321,32,359,636,63.27%,0.061877,5.856918,4.43454,0.032161,24,14
2023,Cowboys,DAL,509,315,6317,4397,1920,385,16,468,614,57.89%,0.080576,7.161238,4.102564,0.014787,36,14
2023,Dolphins,MIA,496,391,6822,4514,2308,360,25,456,566,65.52%,0.072706,7.975265,5.061404,0.024462,30,27
2023,Eagles,PHI,433,428,6024,3834,2190,377,28,510,563,59.68%,0.071879,6.809947,4.294118,0.026095,24,22
2023,Falcons,ATL,321,373,5683,3524,2159,326,28,522,530,46.81%,0.056484,6.649057,4.136015,0.026616,17,14
2023,Giants,NYG,266,407,4760,2886,1874,267,19,454,518,44.19%,0.055882,5.571429,4.127753,0.019547,15,10
2023,Jaguars,JAX,377,371,5772,4126,1646,336,30,453,620,50.00%,0.065315,6.654839,3.633554,0.027959,22,17
2023,Jets,NYJ,268,355,4566,2919,1647,260,33,388,601,32.43%,0.058695,4.856905,4.244845,0.033367,11,7
2023,Lions,DET,461,395,6712,4401,2311,375,23,500,606,66.67%,0.068683,7.262376,4.622,0.020796,30,27
2023,Packers,GB,383,350,5873,3968,1905,338,18,441,581,53.42%,0.065214,6.829604,4.319728,0.017613,32,10
2023,Panthers,CAR,236,416,4510,2741,1769,297,20,445,586,50.00%,0.052328,4.677474,3.975281,0.019399,13,7
2023,Patriots,NE,236,366,4696,3069,1627,261,29,415,557,58.33%,0.050256,5.509874,3.920482,0.029835,16,9
2023,Raiders,LV,332,331,4922,3380,1542,292,24,413,557,48.94%,0.067452,6.068223,3.733656,0.024742,20,11
2023,Rams,LA,404,377,6108,4063,2045,351,18,477,583,60.34%,0.066143,6.969125,4.287212,0.016981,26,18
2023,Ravens,BAL,483,280,6296,3635,2661,359,19,541,494,62.16%,0.076715,7.3583,4.918669,0.018357,27,26
2023,Saints,NO,402,327,5732,3990,1742,337,18,480,606,53.33%,0.070133,6.584158,3.629167,0.016575,28,13
2023,Seahawks,SEA,364,402,5490,3910,1580,317,17,382,575,48.15%,0.066302,6.8,4.136126,0.017764,23,11
2023,Steelers,PIT,304,324,5173,3163,2010,287,16,487,506,48.89%,0.058767,6.250988,4.12731,0.016113,13,16
2023,Texans,HOU,377,353,5820,4173,1647,329,14,444,592,55.36%,0.064777,7.048986,3.709459,0.013514,27,10
2023,Titans,TEN,305,367,4913,3067,1846,298,20,444,494,47.92%,0.06208,6.208502,4.157658,0.021322,14,16
2023,Vikings,MIN,344,362,5912,4359,1553,340,34,393,631,47.06%,0.058187,6.908082,3.951654,0.033203,30,7
