Year,Name,Position,Age,Height (in),Weight (lbs),G,GS,RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate,Catch%,YardsPerReception,YardsPerTarget,YACPerReception,TDperReception,TDperTarget,YardsPerRush,TDperRush,TotalYardsPerTouch,TotalTDsPerTouch,TeamPassingYardsPerAttempt,TeamRushingYardsPerAttempt,TeamPassingTDPercentage,TeamRushingTDPercentage,TeamYardsPerPlay,TeamPointsPerYard,RZ Completions,RZ Targets,RZ CompPercent,RZ Rec TDs,RZ Rushes,RZ Rush TDs,PPR,PosRank
2018,James White,RB,26,70,205,16,3,425,94,5,87,751,7,123,686,1176,12,Patriots,NE,436.0,325.0,6295,574,4258,29,478,2037,18,365,18,0.6286,0.069261,7.418118,4.261506,0.01711,0.707317,8.632184,6.105691,7.885057,0.08046,0.056911,4.521277,0.053191,6.497238,0.066298,7.418118,4.261506,0.050523,0.037657,5.98384,0.069261,16,22,0.7273,7,19,3,276.6,11
2019,James White,RB,27,70,205,15,1,263,67,1,72,645,5,95,541,908,6,Patriots,NE,420.0,225.0,5664,620,3961,25,447,1703,17,338,15,0.4921,0.074153,6.38871,3.809843,0.014058,0.757895,8.958333,6.789474,7.513889,0.069444,0.052632,3.925373,0.014925,6.532374,0.043165,6.38871,3.809843,0.040323,0.038031,5.308341,0.074153,17,20,0.85,4,11,1,200.2,29
2020,James White,RB,28,70,205,14,0,121,35,2,49,375,1,62,404,496,3,Patriots,NE,326.0,353.0,5236,440,2890,12,502,2346,20,332,19,0.5417,0.062261,6.568182,4.673307,0.02017,0.790323,7.653061,6.048387,8.244898,0.020408,0.016129,3.457143,0.057143,5.904762,0.035714,6.568182,4.673307,0.027273,0.039841,5.558386,0.062261,6,8,0.75,1,5,2,116.6,57
2021,James White,RB,29,70,205,3,0,38,10,1,12,94,0,14,70,132,1,Patriots,NE,462.0,303.0,6008,535,3857,24,489,2151,24,362,23,0.6308,0.076897,7.209346,4.398773,0.022461,0.857143,7.833333,6.714286,5.833333,0.0,0.0,3.8,0.1,6.0,0.045455,7.209346,4.398773,0.04486,0.04908,5.867188,0.076897,1,1,1.0,0,2,1,31.2,103
2023,Jameson Williams,WR,22,73,189,12,10,29,3,1,24,354,2,42,105,383,3,Lions,DET,461.0,395.0,6712,606,4401,30,500,2311,27,375,23,0.6667,0.068683,7.262376,4.622,0.020796,0.571429,14.75,8.428571,4.375,0.083333,0.047619,9.666667,0.333333,14.18519,0.111111,7.262376,4.622,0.049505,0.054,6.068716,0.068683,4,5,0.8,1,1,1,80.3,77
2015,Jamison Crowder,WR,22,68,185,16,6,2,2,0,59,604,2,79,339,606,2,Commanders,WAS,388.0,379.0,5661,555,4095,30,429,1566,9,317,22,0.5849,0.068539,7.445455,3.65035,0.022358,0.746835,10.23729,7.64557,5.745763,0.033898,0.025316,1.0,0.0,9.934426,0.032787,7.378378,3.65035,0.054054,0.020979,5.753049,0.068539,5,12,0.4167,3,0,0,133.6,60
2016,Jamison Crowder,WR,23,68,185,16,9,-2,2,0,67,847,7,97,389,845,7,Commanders,WAS,396.0,383.0,6454,607,4758,27,379,1696,10,345,21,0.459,0.061357,8.650909,4.474934,0.021298,0.690722,12.64179,8.731959,5.80597,0.104478,0.072165,-1.0,0.0,12.24638,0.101449,7.83855,4.474934,0.044481,0.026385,6.545639,0.061357,9,16,0.5625,3,0,0,197.5,25
2017,Jamison Crowder,WR,24,69,177,15,6,34,7,0,66,789,3,104,367,823,3,Commanders,WAS,342.0,388.0,5199,540,3751,27,401,1448,10,278,27,0.5435,0.065782,6.82,3.610973,0.028693,0.634615,11.95455,7.586538,5.560606,0.045455,0.028846,4.857143,0.0,11.27397,0.041096,6.946296,3.610973,0.05,0.024938,5.524973,0.065782,7,12,0.5833,3,0,0,160.3,41
2018,Jamison Crowder,WR,25,69,177,9,7,30,4,0,29,388,2,49,211,418,2,Commanders,WAS,281.0,359.0,4795,509,3021,16,414,1774,12,280,19,0.525,0.058603,5.492727,4.285024,0.020585,0.591837,13.37931,7.918367,7.275862,0.068966,0.040816,7.5,0.0,12.66667,0.060606,5.935167,4.285024,0.031434,0.028986,5.195016,0.058603,4,4,1.0,1,0,0,82.8,84
2019,Jamison Crowder,WR,26,69,177,16,12,4,1,0,78,833,6,122,357,837,6,Jets,NYJ,276.0,359.0,4368,521,3111,19,383,1257,6,253,25,0.5455,0.063187,5.971209,3.281984,0.027655,0.639344,10.67949,6.827869,4.576923,0.076923,0.04918,4.0,0.0,10.59494,0.075949,5.971209,3.281984,0.036468,0.015666,4.831858,0.063187,8,13,0.6154,3,0,0,197.7,34
