Year,Name,Position,Age,Height (in),Weight (lbs),G,GS,RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate,Catch%,YardsPerReception,YardsPerTarget,YACPerReception,TDperReception,TDperTarget,YardsPerRush,TDperRush,TotalYardsPerTouch,TotalTDsPerTouch,TeamPassingYardsPerAttempt,TeamRushingYardsPerAttempt,TeamPassingTDPercentage,TeamRushingTDPercentage,TeamYardsPerPlay,TeamPointsPerYard,RZ Completions,RZ Targets,RZ CompPercent,RZ Rec TDs,RZ Rushes,RZ Rush TDs,PPR,PosRank
2019,A.J. Brown,WR,22,73,226,16,11,60,3,1,52,1051,8,84,462,1111,9,Titans,TEN,402.0,331.0,5805,448,3582,29,445,2223,21,317,17,0.7736,0.069251,7.995536,4.995506,0.019037,0.619048,20.21154,12.5119,8.884615,0.153846,0.095238,20.0,0.333333,20.2,0.163636,7.995536,4.995506,0.064732,0.047191,6.50056,0.069251,5,8,0.625,4,0,0,217.1,9
2020,A.J. Brown,WR,23,72,226,14,12,0,0,0,70,1075,11,106,426,1075,11,Titans,TEN,491.0,439.0,6343,485,3653,33,521,2690,26,381,12,0.7424,0.077408,7.531959,5.163148,0.011928,0.660377,15.35714,10.14151,6.085714,0.157143,0.103774,0.0,0.0,15.35714,0.157143,7.531959,5.163148,0.068041,0.049904,6.305169,0.077408,10,15,0.6667,8,0,0,247.5,9
2021,A.J. Brown,WR,24,73,226,13,13,10,2,0,63,869,5,105,235,879,5,Titans,TEN,419.0,354.0,5822,535,3418,22,551,2404,23,362,25,0.625,0.071968,6.388785,4.362976,0.02302,0.6,13.79365,8.27619,3.730159,0.079365,0.047619,5.0,0.0,13.52308,0.076923,6.388785,4.362976,0.041121,0.041742,5.360958,0.071968,4,10,0.4,2,1,0,180.9,32
2022,A.J. Brown,WR,25,73,226,17,16,0,0,0,88,1496,11,145,552,1496,11,Eagles,PHI,477.0,344.0,6614,536,4105,25,544,2509,32,385,19,0.68,0.07212,7.658582,4.612132,0.017593,0.606897,17.0,10.31724,6.272727,0.125,0.075862,0.0,0.0,17.0,0.125,7.658582,4.612132,0.046642,0.058824,6.124074,0.07212,10,18,0.5556,5,0,0,299.6,4
2023,A.J. Brown,WR,26,73,226,17,17,0,0,0,106,1456,7,158,473,1456,7,Eagles,PHI,433.0,428.0,6024,563,3834,24,510,2190,22,377,28,0.5968,0.071879,6.809947,4.294118,0.026095,0.670886,13.73585,9.21519,4.462264,0.066038,0.044304,0.0,0.0,13.73585,0.066038,6.809947,4.294118,0.042629,0.043137,5.614166,0.071879,13,23,0.5652,4,0,0,289.6,8
2016,A.J. Derby,TE,25,77,255,10,3,0,0,0,16,160,0,19,49,160,0,Broncos,DEN,333.0,297.0,5169,570,3685,20,410,1484,11,290,25,0.4681,0.064423,6.464912,3.619512,0.02551,0.842105,10.0,8.421053,3.0625,0.0,0.0,0.0,0.0,10.0,0.0,6.464912,3.619512,0.035088,0.026829,5.27449,0.064423,1,1,1.0,0,0,0,30.0,63
2017,A.J. Derby,TE,26,77,255,11,1,0,0,0,21,244,2,41,93,244,2,Dolphins,MIA,281.0,393.0,4923,602,3535,24,360,1388,4,284,29,0.5263,0.057079,5.872093,3.855556,0.030146,0.512195,11.61905,5.95122,4.428571,0.095238,0.04878,0.0,0.0,11.61905,0.095238,5.872093,3.855556,0.039867,0.011111,5.117464,0.057079,1,4,0.25,0,0,0,55.4,41
2018,A.J. Derby,TE,27,77,240,4,0,0,0,0,3,48,1,5,9,48,1,Dolphins,MIA,319.0,433.0,4638,455,2900,26,371,1738,7,252,23,0.5161,0.06878,6.373626,4.684636,0.027845,0.6,16.0,9.6,3.0,0.333333,0.2,0.0,0.0,16.0,0.333333,6.373626,4.684636,0.057143,0.018868,5.615012,0.06878,1,2,0.5,1,0,0,13.8,76
2015,A.J. Green,WR,27,76,207,16,16,0,0,0,86,1297,10,132,350,1297,10,Bengals,CIN,419.0,279.0,5728,505,3923,31,467,1805,18,324,17,0.65,0.073149,7.768317,3.865096,0.01749,0.651515,15.0814,9.825758,4.069767,0.116279,0.075758,0.0,0.0,15.0814,0.116279,7.768317,3.865096,0.061386,0.038544,5.893004,0.073149,12,22,0.5455,7,0,0,273.7,8
2016,A.J. Green,WR,28,76,207,10,10,0,0,0,66,964,4,100,289,964,4,Bengals,CIN,325.0,315.0,5711,563,3942,18,446,1769,17,341,17,0.537,0.056908,7.001776,3.966368,0.016848,0.66,14.60606,9.64,4.378788,0.060606,0.04,0.0,0.0,14.60606,0.060606,7.001776,3.966368,0.031972,0.038117,5.660059,0.056908,8,10,0.8,2,0,0,186.4,34
2017,A.J. Green,WR,29,76,210,16,16,0,0,0,75,1078,8,145,316,1078,8,Bengals,CIN,290.0,349.0,4488,510,3122,25,377,1366,6,267,23,0.5581,0.064617,6.121569,3.623342,0.02593,0.517241,14.37333,7.434483,4.213333,0.106667,0.055172,0.0,0.0,14.37333,0.106667,6.121569,3.623342,0.04902,0.015915,5.059752,0.064617,7,19,0.3684,6,0,0,226.8,10
2018,A.J. Green,WR,30,76,210,9,9,0,0,0,46,694,6,77,173,694,6,Bengals,CIN,368.0,455.0,4972,542,3290,27,359,1682,13,304,17,0.7111,0.074014,6.070111,4.685237,0.018868,0.597403,15.08696,9.012987,3.76087,0.130435,0.077922,0.0,0.0,15.08696,0.130435,6.070111,4.685237,0.049815,0.036212,5.518313,0.074014,7,14,0.5,5,0,0,149.4,37
2020,A.J. Green,WR,32,76,210,16,14,0,0,0,47,523,2,104,90,523,2,Bengals,CIN,311.0,424.0,5116,581,3448,19,411,1668,13,318,24,0.5,0.06079,5.934596,4.058394,0.024194,0.451923,11.12766,5.028846,1.914894,0.042553,0.019231,0.0,0.0,11.12766,0.042553,5.934596,4.058394,0.032702,0.03163,5.157258,0.06079,6,13,0.4615,3,0,0,111.3,75
2021,A.J. Green,WR,33,76,210,16,9,0,0,0,54,848,3,92,181,848,3,Cardinals,ARI,449.0,366.0,6352,591,4276,27,496,2076,23,367,15,0.6061,0.070686,7.235195,4.185484,0.013799,0.586957,15.7037,9.217391,3.351852,0.055556,0.032609,0.0,0.0,15.7037,0.055556,7.235195,4.185484,0.045685,0.046371,5.843606,0.070686,4,14,0.2857,2,0,0,156.8,43
2022,A.J. Green,WR,34,76,210,15,10,0,0,0,24,236,2,47,56,236,2,Cardinals,ARI,340.0,449.0,5499,664,3626,17,434,1873,15,326,25,0.5682,0.061829,5.460843,4.315668,0.022769,0.510638,9.833333,5.021277,2.333333,0.083333,0.042553,0.0,0.0,9.833333,0.083333,5.460843,4.315668,0.025602,0.034562,5.008197,0.061829,1,6,0.1667,1,0,0,61.6,110
2017,Aaron Jones,RB,23,69,208,12,4,448,81,4,9,22,0,18,31,470,4,Packers,GB,320.0,384.0,4891,562,3167,25,386,1724,13,307,25,0.619,0.065426,5.635231,4.466321,0.026371,0.5,2.444444,1.222222,3.444444,0.0,0.0,5.530864,0.049383,5.222222,0.044444,5.635231,4.466321,0.044484,0.033679,5.159283,0.065426,1,3,0.3333,0,11,3,80.0,50
2018,Aaron Jones,RB,24,69,208,12,8,728,133,8,26,206,1,35,225,934,9,Packers,GB,376.0,400.0,5905,640,4238,25,333,1667,14,332,15,0.617,0.063675,6.621875,5.006006,0.015416,0.742857,7.923077,5.885714,8.653846,0.038462,0.028571,5.473684,0.06015,5.874214,0.056604,6.621875,5.006006,0.039063,0.042042,6.068859,0.063675,2,3,0.6667,0,17,7,171.4,23
2019,Aaron Jones,RB,25,69,208,16,16,1084,236,16,49,474,3,68,453,1558,19,Packers,GB,376.0,313.0,5528,573,3733,26,411,1795,18,320,13,0.6786,0.068017,6.514834,4.367397,0.013211,0.720588,9.673469,6.970588,9.244898,0.061224,0.044118,4.59322,0.067797,5.466667,0.066667,6.514834,4.367397,0.045375,0.043796,5.617886,0.068017,10,11,0.9091,1,32,14,314.8,3
2020,Aaron Jones,RB,26,69,208,14,14,1104,201,9,47,355,2,63,369,1459,11,Packers,GB,509.0,369.0,6224,526,4106,48,443,2118,16,358,11,0.7681,0.08178,7.806084,4.781038,0.011352,0.746032,7.553191,5.634921,7.851064,0.042553,0.031746,5.492537,0.044776,5.883065,0.044355,7.806084,4.781038,0.091255,0.036117,6.423117,0.08178,5,10,0.5,2,40,8,258.9,5
2021,Aaron Jones,RB,27,69,208,15,15,799,171,4,52,391,6,65,412,1190,10,Packers,GB,450.0,371.0,6215,593,4315,39,446,1900,13,375,13,0.5753,0.072405,7.27656,4.26009,0.012512,0.8,7.519231,6.015385,7.923077,0.115385,0.092308,4.672515,0.023392,5.336323,0.044843,7.27656,4.26009,0.065767,0.029148,5.981713,0.072405,10,13,0.7692,5,34,5,229.0,13
2022,Aaron Jones,RB,28,69,208,17,17,1121,213,2,59,395,5,72,477,1516,7,Packers,GB,370.0,371.0,5745,563,3632,27,456,2113,12,334,22,0.5185,0.064404,6.451155,4.633772,0.02159,0.819444,6.694915,5.486111,8.084746,0.084746,0.069444,5.262911,0.00939,5.573529,0.025735,6.451155,4.633772,0.047957,0.026316,5.63788,0.064404,6,7,0.8571,2,22,2,248.6,11
2023,Aaron Jones,RB,29,69,208,11,11,656,142,2,30,233,1,43,271,889,3,Packers,GB,383.0,350.0,5873,581,3968,32,441,1905,10,338,18,0.5342,0.065214,6.829604,4.319728,0.017613,0.697674,7.766667,5.418605,9.033333,0.033333,0.023256,4.619718,0.014085,5.168605,0.017442,6.829604,4.319728,0.055077,0.022676,5.746575,0.065214,7,10,0.7,0,36,2,134.9,36
2016,Aaron Ripkowski,RB,24,73,246,16,8,150,34,2,9,46,1,10,31,196,3,Packers,GB,432.0,388.0,5900,620,4199,40,374,1701,11,349,17,0.6447,0.07322,6.772581,4.548128,0.017103,0.9,5.111111,4.6,3.444444,0.111111,0.1,4.411765,0.058824,4.55814,0.069767,6.772581,4.548128,0.064516,0.029412,5.935614,0.07322,3,4,0.75,1,9,2,46.6,75
2017,Aaron Ripkowski,RB,25,73,246,16,2,13,5,0,7,39,0,9,25,52,0,Packers,GB,320.0,384.0,4891,562,3167,25,386,1724,13,307,25,0.619,0.065426,5.635231,4.466321,0.026371,0.777778,5.571429,4.333333,3.571429,0.0,0.0,2.6,0.0,4.333333,0.0,5.635231,4.466321,0.044484,0.033679,5.159283,0.065426,0,1,0.0,0,2,0,12.2,131
2015,Adam Humphries,WR,22,71,195,13,0,0,0,0,27,260,1,41,126,260,1,Buccaneers,TB,342.0,417.0,6014,535,3852,22,455,2162,12,336,28,0.5294,0.056867,7.2,4.751648,0.028283,0.658537,9.62963,6.341463,4.666667,0.037037,0.02439,0.0,0.0,9.62963,0.037037,7.2,4.751648,0.041121,0.026374,6.074747,0.056867,1,5,0.2,1,0,0,59.0,106
2016,Adam Humphries,WR,23,71,195,15,4,18,5,0,55,622,2,81,399,640,2,Buccaneers,TB,354.0,369.0,5542,578,3926,29,453,1616,8,340,27,0.5185,0.063876,6.792388,3.567329,0.026188,0.679012,11.30909,7.679012,7.254545,0.036364,0.024691,3.6,0.0,10.66667,0.033333,6.792388,3.567329,0.050173,0.01766,5.375364,0.063876,6,11,0.5455,1,0,0,133.0,64
2017,Adam Humphries,WR,24,71,195,16,3,6,1,0,61,631,1,83,296,637,1,Buccaneers,TB,335.0,382.0,5816,605,4366,26,389,1450,8,352,27,0.4906,0.0576,7.216529,3.727506,0.027163,0.73494,10.34426,7.60241,4.852459,0.016393,0.012048,6.0,0.0,10.27419,0.016129,7.216529,3.727506,0.042975,0.020566,5.851107,0.0576,5,5,1.0,1,0,0,128.7,60
2018,Adam Humphries,WR,25,71,195,16,10,11,2,0,76,816,5,105,429,827,5,Buccaneers,TB,396.0,464.0,6648,625,5125,36,389,1523,11,388,35,0.6,0.059567,8.2,3.915167,0.034517,0.72381,10.73684,7.771429,5.644737,0.065789,0.047619,5.5,0.0,10.60256,0.064103,8.2,3.915167,0.0576,0.028278,6.556213,0.059567,11,17,0.6471,4,1,0,188.7,32
2019,Adam Humphries,WR,26,71,195,12,3,1,1,0,37,374,2,47,122,375,2,Titans,TEN,402.0,331.0,5805,448,3582,29,445,2223,21,317,17,0.7736,0.069251,7.995536,4.995506,0.019037,0.787234,10.10811,7.957447,3.297297,0.054054,0.042553,1.0,0.0,9.868421,0.052632,7.995536,4.995506,0.064732,0.047191,6.50056,0.069251,2,4,0.5,1,0,0,86.5,86
2020,Adam Humphries,WR,27,71,195,7,1,0,0,0,23,228,2,35,48,228,2,Titans,TEN,491.0,439.0,6343,485,3653,33,521,2690,26,381,12,0.7424,0.077408,7.531959,5.163148,0.011928,0.657143,9.913043,6.514286,2.086957,0.086957,0.057143,0.0,0.0,9.913043,0.086957,7.531959,5.163148,0.068041,0.049904,6.305169,0.077408,4,5,0.8,1,0,0,57.8,111
2021,Adam Humphries,WR,28,71,195,17,11,0,0,0,41,383,0,62,158,383,0,Commanders,WAS,335.0,434.0,5502,550,3441,21,477,2061,13,345,24,0.52,0.060887,6.256364,4.320755,0.023369,0.66129,9.341463,6.177419,3.853659,0.0,0.0,0.0,0.0,9.341463,0.0,6.256364,4.320755,0.038182,0.027254,5.357352,0.060887,6,9,0.6667,0,0,0,79.3,112
2018,Adam Shaheen,TE,24,78,270,6,4,0,0,0,5,48,1,6,16,48,1,Bears,CHI,421.0,283.0,5502,512,3564,28,468,1938,16,331,24,0.6316,0.076518,6.960938,4.141026,0.02449,0.833333,9.6,8.0,3.2,0.2,0.166667,0.0,0.0,9.6,0.2,6.960938,4.141026,0.054688,0.034188,5.614286,0.076518,1,1,1.0,1,0,0,17.8,99
2019,Adam Shaheen,TE,25,78,257,8,2,0,0,0,9,74,0,13,38,74,0,Bears,CHI,280.0,298.0,4749,580,3291,20,395,1458,8,297,19,0.5217,0.05896,5.674138,3.691139,0.019487,0.692308,8.222222,5.692308,4.222222,0.0,0.0,0.0,0.0,8.222222,0.0,5.674138,3.691139,0.034483,0.020253,4.870769,0.05896,0,3,0.0,0,0,0,16.4,113
2020,Adam Shaheen,TE,26,79,257,16,5,0,0,0,12,150,3,22,109,150,3,Dolphins,MIA,404.0,338.0,5424,559,3736,24,428,1688,15,345,20,0.5833,0.074484,6.683363,3.943925,0.020263,0.545455,12.5,6.818182,9.083333,0.25,0.136364,0.0,0.0,12.5,0.25,6.683363,3.943925,0.042934,0.035047,5.495441,0.074484,4,9,0.4444,3,0,0,45.0,46
2021,Adam Shaheen,TE,27,79,257,12,7,0,0,0,12,110,0,16,33,110,0,Dolphins,MIA,341.0,373.0,5219,615,3651,21,442,1568,12,325,26,0.6122,0.065338,5.936585,3.547511,0.024598,0.75,9.166667,6.875,2.75,0.0,0.0,0.0,0.0,9.166667,0.0,5.936585,3.547511,0.034146,0.027149,4.937559,0.065338,4,7,0.5714,0,0,0,23.0,72
2016,Adam Thielen,WR,26,74,200,16,10,15,2,0,69,967,5,92,317,982,5,Vikings,MIN,327.0,307.0,5041,588,3836,20,380,1205,9,303,16,0.46,0.064868,6.52381,3.171053,0.016529,0.75,14.01449,10.51087,4.594203,0.072464,0.054348,7.5,0.0,13.83099,0.070423,6.52381,3.171053,0.034014,0.023684,5.207645,0.064868,8,11,0.7273,3,1,0,195.2,30
2017,Adam Thielen,WR,27,74,200,16,16,11,1,0,91,1276,4,143,441,1287,4,Vikings,MIN,382.0,252.0,5710,527,3753,25,501,1957,15,334,14,0.5556,0.0669,7.121442,3.906188,0.013619,0.636364,14.02198,8.923077,4.846154,0.043956,0.027972,11.0,0.0,13.98913,0.043478,7.121442,3.906188,0.047438,0.02994,5.554475,0.0669,6,20,0.3,3,0,0,239.7,11
2018,Adam Thielen,WR,28,74,200,16,16,30,5,0,113,1373,9,153,435,1403,9,Vikings,MIN,360.0,341.0,5529,606,4036,30,357,1493,9,310,20,0.54,0.065111,6.660066,4.182073,0.020768,0.738562,12.15044,8.973856,3.849558,0.079646,0.058824,6.0,0.0,11.88983,0.076271,6.660066,4.182073,0.049505,0.02521,5.741433,0.065111,15,20,0.75,6,0,0,307.3,7
2019,Adam Thielen,WR,29,74,200,10,10,6,4,1,30,418,6,48,123,424,7,Vikings,MIN,407.0,303.0,5656,466,3523,26,476,2133,19,314,20,0.6066,0.071959,7.560086,4.481092,0.021231,0.625,13.93333,8.708333,4.1,0.2,0.125,1.5,0.25,12.47059,0.205882,7.560086,4.481092,0.055794,0.039916,6.004246,0.071959,5,6,0.8333,3,1,1,114.4,56
2020,Adam Thielen,WR,30,74,200,15,15,15,3,0,74,925,14,108,231,940,14,Vikings,MIN,430.0,475.0,6292,516,4009,35,468,2283,20,383,23,0.7119,0.068341,7.76938,4.878205,0.023374,0.685185,12.5,8.564815,3.121622,0.189189,0.12963,5.0,0.0,12.20779,0.181818,7.76938,4.878205,0.067829,0.042735,6.394309,0.068341,17,23,0.7391,13,1,0,254.0,7
2021,Adam Thielen,WR,31,74,200,13,13,2,1,0,67,726,10,95,239,728,10,Vikings,MIN,425.0,426.0,6168,604,4238,34,449,1930,10,332,13,0.6226,0.068904,7.016556,4.298441,0.012346,0.705263,10.83582,7.642105,3.567164,0.149254,0.105263,2.0,0.0,10.70588,0.147059,7.016556,4.298441,0.056291,0.022272,5.85755,0.068904,13,15,0.8667,9,0,0,199.8,27
2022,Adam Thielen,WR,32,74,200,17,17,4,1,0,70,716,6,107,152,720,6,Vikings,MIN,424.0,427.0,6145,672,4484,30,404,1661,18,382,23,0.6324,0.068999,6.672619,4.111386,0.021375,0.654206,10.22857,6.691589,2.171429,0.085714,0.056075,4.0,0.0,10.14085,0.084507,6.672619,4.111386,0.044643,0.044554,5.710967,0.068999,13,19,0.6842,3,0,0,180.0,35
2023,Adam Thielen,WR,33,74,200,17,17,6,1,0,103,1014,4,137,334,1020,4,Panthers,CAR,236.0,416.0,4510,586,2741,13,445,1769,7,297,20,0.5,0.052328,4.677474,3.975281,0.019399,0.751825,9.84466,7.40146,3.242718,0.038835,0.029197,6.0,0.0,9.807692,0.038462,4.677474,3.975281,0.022184,0.01573,4.374394,0.052328,12,18,0.6667,4,1,0,231.0,31
2020,Adam Trautman,TE,23,77,253,15,6,0,0,0,15,171,1,16,119,171,1,Saints,NO,482.0,337.0,6023,522,3758,28,494,2265,30,367,17,0.7162,0.080027,7.199234,4.58502,0.016732,0.9375,11.4,10.6875,7.933333,0.066667,0.0625,0.0,0.0,11.4,0.066667,7.199234,4.58502,0.05364,0.060729,5.92815,0.080027,3,3,1.0,1,0,0,38.1,59
2021,Adam Trautman,TE,24,77,253,13,10,0,0,0,27,263,2,43,111,263,2,Saints,NO,364.0,335.0,5177,504,3186,29,510,1991,12,307,18,0.5893,0.070311,6.321429,3.903922,0.017751,0.627907,9.740741,6.116279,4.111111,0.074074,0.046512,0.0,0.0,9.740741,0.074074,6.321429,3.903922,0.05754,0.023529,5.105523,0.070311,4,9,0.4444,1,0,0,63.3,41
2022,Adam Trautman,TE,25,77,253,15,12,0,0,0,18,207,1,22,123,207,1,Saints,NO,330.0,345.0,5674,512,3692,24,465,1982,12,305,25,0.5208,0.05816,7.210938,4.262366,0.025589,0.818182,11.5,9.409091,6.833333,0.055556,0.045455,0.0,0.0,11.5,0.055556,7.210938,4.262366,0.046875,0.025806,5.807574,0.05816,2,3,0.6667,0,0,0,44.7,51
2023,Adam Trautman,TE,26,77,253,17,12,0,0,0,22,204,3,35,98,204,3,Broncos,DEN,357.0,413.0,5072,513,3262,28,451,1810,8,301,22,0.5085,0.070386,6.358674,4.013304,0.022822,0.628571,9.272727,5.828571,4.454545,0.136364,0.085714,0.0,0.0,9.272727,0.136364,6.358674,4.013304,0.054581,0.017738,5.261411,0.070386,5,12,0.4167,3,0,0,60.4,36
2015,Adrian Peterson,RB,30,73,220,16,16,1485,327,11,30,222,0,36,257,1707,11,Vikings,MIN,365.0,302.0,5139,454,2928,14,474,2211,18,297,17,0.4773,0.071025,6.449339,4.664557,0.018319,0.833333,7.4,6.166667,8.566667,0.0,0.0,4.541284,0.033639,4.781513,0.030812,6.449339,4.664557,0.030837,0.037975,5.537716,0.071025,1,2,0.5,0,47,8,260.7,2
2016,Adrian Peterson,RB,31,73,220,3,3,72,37,0,3,8,0,6,12,80,0,Vikings,MIN,327.0,307.0,5041,588,3836,20,380,1205,9,303,16,0.46,0.064868,6.52381,3.171053,0.016529,0.5,2.666667,1.333333,4.0,0.0,0.0,1.945946,0.0,2.0,0.0,6.52381,3.171053,0.034014,0.023684,5.207645,0.064868,0,0,0.0,0,3,0,9.0,125
2017,Adrian Peterson,RB,32,73,220,10,7,529,156,2,11,70,0,19,56,599,2,Cardinals,ARI,295.0,361.0,5026,598,3640,21,409,1386,6,310,25,0.4167,0.058695,6.086957,3.388753,0.024826,0.578947,6.363636,3.684211,5.090909,0.0,0.0,3.391026,0.012821,3.586826,0.011976,6.086957,3.388753,0.035117,0.01467,4.991063,0.058695,1,2,0.5,0,16,1,78.9,54
2018,Adrian Peterson,RB,33,73,220,16,16,1042,251,7,20,208,1,26,206,1250,8,Commanders,WAS,281.0,359.0,4795,509,3021,16,414,1774,12,280,19,0.525,0.058603,5.492727,4.285024,0.020585,0.769231,10.4,8.0,10.3,0.05,0.038462,4.151394,0.027888,4.612546,0.02952,5.935167,4.285024,0.031434,0.028986,5.195016,0.058603,2,3,0.6667,1,29,5,189.0,16
2019,Adrian Peterson,RB,34,73,220,15,15,898,211,5,17,142,0,23,160,1040,5,Commanders,WAS,266.0,435.0,4395,479,2812,18,356,1583,9,248,21,0.4878,0.060523,5.112727,4.446629,0.02515,0.73913,8.352941,6.173913,9.411765,0.0,0.0,4.255924,0.023697,4.561404,0.02193,5.870564,4.446629,0.037578,0.025281,5.263473,0.060523,2,2,1.0,0,23,5,147.0,28
2020,Adrian Peterson,RB,35,73,220,16,10,604,156,7,12,101,0,18,102,705,7,Lions,DET,377.0,519.0,5603,582,4104,27,367,1499,17,350,21,0.6604,0.067285,7.051546,4.084469,0.022129,0.666667,8.416667,5.611111,8.5,0.0,0.0,3.871795,0.044872,4.196429,0.041667,7.051546,4.084469,0.046392,0.046322,5.90411,0.067285,0,1,0.0,0,38,7,124.5,33
2021,Adrian Peterson,RB,36,73,220,4,3,98,38,2,4,8,0,4,19,106,2,Seahawks,SEA,395.0,366.0,5506,495,3432,30,413,2074,18,302,13,0.6458,0.07174,6.933333,5.021792,0.014317,1.0,2.0,2.0,4.75,0.0,0.0,2.578947,0.052632,2.52381,0.047619,6.933333,5.021792,0.060606,0.043584,6.063877,0.07174,0,0,0.0,0,5,1,26.6,98
2015,Ahmad Bradshaw,RB,29,70,217,6,0,85,31,0,10,64,3,13,55,149,3,Colts,IND,333.0,408.0,5142,619,3704,26,396,1438,6,311,30,0.5306,0.064761,5.983845,3.631313,0.029557,0.769231,6.4,4.923077,5.5,0.3,0.230769,2.741935,0.0,3.634146,0.073171,5.983845,3.631313,0.042003,0.015152,5.06601,0.064761,3,3,1.0,3,8,0,42.9,81
2020,AJ Dillon,RB,22,72,247,11,0,242,46,2,2,21,0,2,16,263,2,Packers,GB,509.0,369.0,6224,526,4106,48,443,2118,16,358,11,0.7681,0.08178,7.806084,4.781038,0.011352,1.0,10.5,10.5,8.0,0.0,0.0,5.26087,0.043478,5.479167,0.041667,7.806084,4.781038,0.091255,0.036117,6.423117,0.08178,1,1,1.0,0,4,1,40.3,77
2021,AJ Dillon,RB,23,72,247,17,2,803,187,5,34,313,2,37,310,1116,7,Packers,GB,450.0,371.0,6215,593,4315,39,446,1900,13,375,13,0.5753,0.072405,7.27656,4.26009,0.012512,0.918919,9.205882,8.459459,9.117647,0.058824,0.054054,4.294118,0.026738,5.049774,0.031674,7.27656,4.26009,0.065767,0.029148,5.981713,0.072405,5,5,1.0,2,39,3,185.6,21
2022,AJ Dillon,RB,24,72,247,17,3,770,186,7,28,206,0,43,203,976,7,Packers,GB,370.0,371.0,5745,563,3632,27,456,2113,12,334,22,0.5185,0.064404,6.451155,4.633772,0.02159,0.651163,7.357143,4.790698,7.25,0.0,0.0,4.139785,0.037634,4.560748,0.03271,6.451155,4.633772,0.047957,0.026316,5.63788,0.064404,3,4,0.75,0,15,2,167.6,26
2023,AJ Dillon,RB,25,72,250,15,6,613,178,2,22,223,0,28,231,836,2,Packers,GB,383.0,350.0,5873,581,3968,32,441,1905,10,338,18,0.5342,0.065214,6.829604,4.319728,0.017613,0.785714,10.13636,7.964286,10.5,0.0,0.0,3.44382,0.011236,4.18,0.01,6.829604,4.319728,0.055077,0.022676,5.746575,0.065214,1,1,1.0,0,36,2,117.6,40
2016,Alan Cross,TE,23,73,245,14,0,0,0,0,6,38,1,10,15,38,1,Buccaneers,TB,354.0,369.0,5542,578,3926,29,453,1616,8,340,27,0.5185,0.063876,6.792388,3.567329,0.026188,0.6,6.333333,3.8,2.5,0.166667,0.1,0.0,0.0,6.333333,0.166667,6.792388,3.567329,0.050173,0.01766,5.375364,0.063876,1,1,1.0,1,0,0,15.8,72
2018,Alan Cross,TE,25,73,235,14,3,0,0,0,2,9,0,5,6,9,0,Buccaneers,TB,396.0,464.0,6648,625,5125,36,389,1523,11,388,35,0.6,0.059567,8.2,3.915167,0.034517,0.4,4.5,1.8,3.0,0.0,0.0,0.0,0.0,4.5,0.0,8.2,3.915167,0.0576,0.028278,6.556213,0.059567,0,1,0.0,0,0,0,2.9,110
2020,Albert Okwuegbunam,TE,22,77,255,4,0,0,0,0,11,121,1,15,72,121,1,Broncos,DEN,323.0,446.0,5369,556,3451,21,442,1918,13,308,32,0.5333,0.06016,6.206835,4.339367,0.032064,0.733333,11.0,8.066667,6.545455,0.090909,0.066667,0.0,0.0,11.0,0.090909,6.206835,4.339367,0.03777,0.029412,5.37976,0.06016,2,5,0.4,1,0,0,29.1,63
2021,Albert Okwuegbunam,TE,23,77,255,14,6,0,0,0,33,330,2,40,245,330,2,Broncos,DEN,335.0,322.0,5618,541,3593,20,455,2025,16,331,18,0.5472,0.05963,6.641405,4.450549,0.018072,0.825,10.0,8.25,7.424242,0.060606,0.05,0.0,0.0,10.0,0.060606,6.641405,4.450549,0.036969,0.035165,5.640562,0.05963,3,6,0.5,2,0,0,76.0,30
2022,Albert Okwuegbunam,TE,24,77,255,8,1,0,0,0,10,95,1,18,59,95,1,Broncos,DEN,287.0,359.0,5527,571,3592,18,444,1935,11,300,24,0.5556,0.051927,6.290718,4.358108,0.023645,0.555556,9.5,5.277778,5.9,0.1,0.055556,0.0,0.0,9.5,0.1,6.290718,4.358108,0.031524,0.024775,5.44532,0.051927,1,1,1.0,0,0,0,25.5,70
2015,Albert Wilson,WR,23,69,200,14,12,26,5,0,35,451,2,57,224,477,2,Chiefs,KC,405.0,287.0,5299,473,3255,20,436,2044,19,303,15,0.5738,0.07643,6.881607,4.688073,0.016502,0.614035,12.88571,7.912281,6.4,0.057143,0.035088,5.2,0.0,11.925,0.05,6.881607,4.688073,0.042283,0.043578,5.829483,0.07643,2,6,0.3333,0,0,0,94.7,77
2016,Albert Wilson,WR,24,69,200,16,5,50,2,1,31,279,2,51,151,329,3,Chiefs,KC,389.0,311.0,5488,546,3740,19,412,1748,15,305,17,0.4737,0.070882,6.849817,4.242718,0.017745,0.607843,9.0,5.470588,4.870968,0.064516,0.039216,25.0,0.5,9.969697,0.090909,6.849817,4.242718,0.034799,0.036408,5.728601,0.070882,3,7,0.4286,1,1,0,81.9,93
